3	6.285573636e-01
4	7.277992434e-01
5	7.911168879e-01
6	8.120076052e-01
7	8.432691903e-01
8	8.546000758e-01
9	8.694765125e-01
10	9.167756853e-01
11	8.966997602e-01
12	9.090061502e-01
13	9.040119226e-01
14	8.812882952e-01
15	9.110341032e-01
16	9.484291641e-01
17	9.220218608e-01
18	9.494486781e-01
19	9.944903266e-01
20	1.016009091e+00
21	1.086981955e+00
22	1.021424943e+00
23	8.856762282e-01
24	9.435367877e-01
25	6.967467189e-01
26	8.682451535e-01
27	9.256001152e-01
28	8.673383118e-01
29	1.035834188e+00
30	1.035175251e+00
31	1.125809764e+00
32	8.063549397e-01
33	1.147714332e+00
34	9.617887187e-01
35	9.028108891e-01
36	1.025865138e+00
37	7.980289057e-01
