N	P_d
2	2.500000000e-01
4	1.406250000e-01
6	9.765625000e-02
8	7.476806641e-02
10	6.056213379e-02
12	5.088901520e-02
14	4.387879372e-02
16	3.856534604e-02
18	3.439933644e-02
20	3.104540113e-02
22	2.828723533e-02
24	2.597907550e-02
26	2.401911567e-02
28	2.233410117e-02
30	2.086997676e-02
32	1.958598405e-02
34	1.845081024e-02
36	1.744000196e-02
38	1.653418468e-02
40	1.571780931e-02
42	1.497825253e-02
44	1.430515957e-02
46	1.368995658e-02
48	1.312548354e-02
50	1.260571440e-02
52	1.212554110e-02
54	1.168060527e-02
56	1.126716548e-02
58	1.088199186e-02
60	1.052228158e-02
62	1.018559047e-02
64	9.869777480e-03
66	9.572959103e-03
68	9.293471759e-03
70	9.029840622e-03
72	8.780753583e-03
74	8.545039416e-03
76	8.321649362e-03
78	8.109641530e-03
80	7.908167623e-03
