N	P_d
2	1.666666667e-01
4	6.944444444e-02
6	3.986625514e-02
8	2.663108711e-02
10	1.939193244e-02
12	1.492852798e-02
14	1.194895308e-02
16	9.843770445e-03
18	8.291560006e-03
20	7.108354149e-03
22	6.182032930e-03
24	5.440770873e-03
26	4.836648669e-03
28	4.336599083e-03
30	3.917143983e-03
32	3.561201814e-03
34	3.256079421e-03
36	2.992168643e-03
38	2.762076956e-03
40	2.560033501e-03
