N	P_d
2	1.670300000e-01
4	6.879000000e-02
6	4.019000000e-02
8	2.739000000e-02
10	2.021000000e-02
12	1.496000000e-02
14	1.212000000e-02
16	9.450000000e-03
18	8.500000000e-03
20	7.490000000e-03
22	6.180000000e-03
24	5.300000000e-03
26	5.080000000e-03
28	4.770000000e-03
30	3.650000000e-03
32	3.600000000e-03
34	3.080000000e-03
36	3.110000000e-03
38	2.630000000e-03
40	2.610000000e-03
41614
