3	3.157778490e-01
4	3.641059374e-01
5	3.906753476e-01
6	4.080176502e-01
7	4.203875594e-01
8	4.297165901e-01
9	4.370306183e-01
10	4.429324110e-01
11	4.478022591e-01
12	4.518932229e-01
13	4.553808255e-01
14	4.583909446e-01
15	4.610163725e-01
16	4.633271023e-01
17	4.653769790e-01
18	4.672081433e-01
19	4.688540542e-01
20	4.703416402e-01
21	4.716928319e-01
22	4.729256497e-01
23	4.740550814e-01
24	4.750936542e-01
25	4.760519500e-01
26	4.769389770e-01
27	4.777624105e-01
28	4.785288903e-01
29	4.792441329e-01
30	4.799131273e-01
31	4.805402337e-01
32	4.811292722e-01
33	4.816836233e-01
34	4.822062608e-01
35	4.826998410e-01
36	4.831667224e-01
37	4.836090228e-01
38	4.840286332e-01
39	4.844272600e-01
40	4.848064438e-01
41	4.851675713e-01
42	4.855119080e-01
43	4.858405972e-01
44	4.861546847e-01
45	4.864551212e-01
46	4.867427817e-01
47	4.870184638e-01
48	4.872829002e-01
49	4.875367707e-01
50	4.877806899e-01
51	4.880152362e-01
52	4.882409412e-01
53	4.884582923e-01
54	4.886677492e-01
55	4.888697311e-01
56	4.890646342e-01
57	4.892528228e-01
58	4.894346402e-01
59	4.896104027e-01
60	4.897804083e-01
61	4.899449377e-01
62	4.901042485e-01
63	4.902585898e-01
64	4.904081826e-01
65	4.905532503e-01
66	4.906939912e-01
67	4.908305992e-01
68	4.909632532e-01
69	4.910921215e-01
70	4.912173628e-01
71	4.913391310e-01
72	4.914575652e-01
73	4.915728035e-01
74	4.916849734e-01
75	4.917941915e-01
76	4.919005822e-01
77	4.920042419e-01
