N	P_d
2	4.999200000e-01
4	3.761600000e-01
6	3.135600000e-01
8	2.740300000e-01
10	2.463900000e-01
12	2.258800000e-01
14	2.099500000e-01
16	1.956900000e-01
18	1.853500000e-01
20	1.768000000e-01
22	1.672900000e-01
24	1.609100000e-01
26	1.535600000e-01
28	1.491700000e-01
30	1.436800000e-01
32	1.403500000e-01
34	1.357300000e-01
36	1.323300000e-01
38	1.299400000e-01
40	1.265100000e-01
42	1.232200000e-01
44	1.190300000e-01
46	1.182700000e-01
48	1.148700000e-01
50	1.142600000e-01
52	1.104500000e-01
54	1.084000000e-01
56	1.051900000e-01
58	1.031800000e-01
60	1.019900000e-01
62	1.012100000e-01
64	9.926000000e-02
66	9.676000000e-02
68	9.621000000e-02
70	9.599000000e-02
72	9.286000000e-02
74	9.261000000e-02
76	9.066000000e-02
78	8.836000000e-02
80	8.778000000e-02
82	8.778000000e-02
84	8.554000000e-02
86	8.600000000e-02
88	8.471000000e-02
90	8.438000000e-02
92	8.248000000e-02
94	8.215000000e-02
96	8.136000000e-02
98	8.107000000e-02
100	7.911000000e-02
102	7.844000000e-02
104	7.851000000e-02
106	7.704000000e-02
108	7.748000000e-02
110	7.585000000e-02
112	7.624000000e-02
114	7.465000000e-02
116	7.519000000e-02
118	7.353000000e-02
120	7.278000000e-02
122	7.322000000e-02
124	7.161000000e-02
126	7.084000000e-02
128	6.951000000e-02
130	6.884000000e-02
132	6.832000000e-02
134	6.840000000e-02
136	6.778000000e-02
138	6.743000000e-02
140	6.696000000e-02
142	6.682000000e-02
144	6.682000000e-02
146	6.667000000e-02
148	6.591000000e-02
150	6.679000000e-02
152	6.482000000e-02
154	6.418000000e-02
156	6.505000000e-02
158	6.333000000e-02
160	6.362000000e-02
914497
