lambda	class
7.116000000e-01	1
7.116400000e-01	1
7.116800000e-01	1
7.117200000e-01	1
7.117600000e-01	1
7.118000000e-01	1
7.118400000e-01	1
7.118800000e-01	1
7.119200000e-01	1
7.119600000e-01	1
7.120000000e-01	1
7.120400000e-01	1
7.120800000e-01	1
7.121200000e-01	1
7.121600000e-01	1
7.122000000e-01	1
7.122400000e-01	1
7.122800000e-01	1
7.123200000e-01	1
7.123600000e-01	1
7.124000000e-01	1
7.124400000e-01	1
7.124800000e-01	1
7.125200000e-01	1
7.125600000e-01	1
7.126000000e-01	1
7.126400000e-01	1
7.126800000e-01	1
7.127200000e-01	1
7.127600000e-01	1
7.128000000e-01	1
7.128400000e-01	1
7.128800000e-01	1
7.129200000e-01	1
7.129600000e-01	1
7.130000000e-01	1
7.130400000e-01	1
7.130800000e-01	1
7.131200000e-01	1
7.131600000e-01	1
7.132000000e-01	1
7.132400000e-01	1
7.132800000e-01	1
7.133200000e-01	1
7.133600000e-01	1
7.134000000e-01	1
7.134400000e-01	1
7.134800000e-01	1
7.135200000e-01	1
7.135600000e-01	1
7.136000000e-01	1
7.136400000e-01	1
7.136800000e-01	1
7.137200000e-01	1
7.137600000e-01	1
7.138000000e-01	1
7.138400000e-01	1
7.138800000e-01	1
7.139200000e-01	1
7.139600000e-01	1
7.140000000e-01	1
7.140400000e-01	1
7.140800000e-01	1
7.141200000e-01	1
7.141600000e-01	1
7.142000000e-01	1
7.142400000e-01	1
7.142800000e-01	1
7.143200000e-01	1
7.143600000e-01	1
7.144000000e-01	1
7.144400000e-01	1
7.144800000e-01	1
7.145200000e-01	1
7.145600000e-01	1
7.146000000e-01	1
7.146400000e-01	1
7.146800000e-01	1
7.147200000e-01	1
7.147600000e-01	1
7.148000000e-01	1
7.148400000e-01	1
7.148800000e-01	1
7.149200000e-01	1
7.149600000e-01	1
7.150000000e-01	1
7.150400000e-01	1
7.150800000e-01	1
7.151200000e-01	1
7.151600000e-01	1
7.152000000e-01	1
7.152400000e-01	1
7.152800000e-01	1
7.153200000e-01	1
7.153600000e-01	1
7.154000000e-01	1
7.154400000e-01	1
7.154800000e-01	1
7.155200000e-01	1
7.155600000e-01	1
7.156000000e-01	1
7.156400000e-01	1
7.156800000e-01	1
7.157200000e-01	1
7.157600000e-01	1
7.158000000e-01	1
7.158400000e-01	1
7.158800000e-01	1
7.159200000e-01	1
7.159600000e-01	1
7.160000000e-01	1
7.160400000e-01	1
7.160800000e-01	1
7.161200000e-01	1
7.161600000e-01	1
7.162000000e-01	1
7.162400000e-01	1
7.162800000e-01	1
7.163200000e-01	1
7.163600000e-01	1
7.164000000e-01	1
7.164400000e-01	1
7.164800000e-01	1
7.165200000e-01	1
7.165600000e-01	1
7.166000000e-01	1
7.166400000e-01	1
7.166800000e-01	1
7.167200000e-01	1
7.167600000e-01	1
7.168000000e-01	1
7.168400000e-01	1
7.168800000e-01	1
7.169200000e-01	1
7.169600000e-01	1
7.170000000e-01	1
7.170400000e-01	1
7.170800000e-01	1
7.171200000e-01	1
7.171600000e-01	1
7.172000000e-01	1
7.172400000e-01	1
7.172800000e-01	1
7.173200000e-01	1
7.173600000e-01	1
7.174000000e-01	1
7.174400000e-01	1
7.174800000e-01	1
7.175200000e-01	1
7.175600000e-01	1
7.176000000e-01	1
7.176400000e-01	1
7.176800000e-01	1
7.177200000e-01	1
7.177600000e-01	1
7.178000000e-01	1
7.178400000e-01	1
7.178800000e-01	1
7.179200000e-01	1
7.179600000e-01	1
7.180000000e-01	1
7.180400000e-01	1
7.180800000e-01	1
7.181200000e-01	1
7.181600000e-01	1
7.182000000e-01	1
7.182400000e-01	1
7.182800000e-01	1
7.183200000e-01	1
7.183600000e-01	1
7.184000000e-01	1
7.184400000e-01	1
7.184800000e-01	1
7.185200000e-01	1
7.185600000e-01	1
7.186000000e-01	1
7.186400000e-01	1
7.186800000e-01	1
7.187200000e-01	1
7.187600000e-01	1
7.188000000e-01	1
7.188400000e-01	1
7.188800000e-01	1
7.189200000e-01	1
7.189600000e-01	1
7.190000000e-01	1
7.190400000e-01	1
7.190800000e-01	1
7.191200000e-01	1
7.191600000e-01	1
7.192000000e-01	1
7.192400000e-01	1
7.192800000e-01	1
7.193200000e-01	1
7.193600000e-01	1
7.194000000e-01	1
7.194400000e-01	1
7.194800000e-01	1
7.195200000e-01	1
7.195600000e-01	1
7.196000000e-01	1
7.196400000e-01	1
7.196800000e-01	1
7.197200000e-01	1
7.197600000e-01	1
7.198000000e-01	2
7.198400000e-01	2
7.198800000e-01	2
7.199200000e-01	4
7.199600000e-01	4
7.200000000e-01	2
7.200400000e-01	2
7.200800000e-01	2
7.201200000e-01	2
7.201600000e-01	2
7.202000000e-01	2
7.202400000e-01	2
7.202800000e-01	2
7.203200000e-01	2
7.203600000e-01	2
7.204000000e-01	2
7.204400000e-01	2
7.204800000e-01	2
7.205200000e-01	2
7.205600000e-01	2
7.206000000e-01	2
7.206400000e-01	2
7.206800000e-01	2
7.207200000e-01	2
7.207600000e-01	2
7.208000000e-01	2
