N	x	y
464	10	-14
465	-21	8
466	-4	-9
467	8	-16
468	-7	-9
469	18	-10
470	-5	21
471	17	1
472	19	-8
473	-22	7
474	23	-7
475	-8	-9
476	-21	4
477	23	-7
478	6	16
479	-10	20
480	19	-9
481	11	5
482	-4	21
483	-10	21
484	11	6
485	11	7
486	-16	9
487	-3	-8
488	9	-15
489	-15	0
490	22	-8
491	9	12
492	-3	-9
493	23	-7
494	-19	11
495	12	0
496	11	5
497	23	-8
498	10	-15
499	12	5
500	11	-12
501	12	-12
502	-9	-6
503	-22	4
504	-8	-9
505	24	-7
506	12	4
507	11	-14
508	-4	22
509	18	0
510	-10	22
511	-12	19
512	-10	23
513	-4	23
514	19	-2
515	9	-16
516	6	-11
517	-3	22
518	18	-10
519	-12	19
520	-22	7
521	-23	4
522	-23	3
523	-17	4
524	-21	8
525	-19	11
526	-20	11
527	-23	4
528	-9	-9
529	20	-3
530	-13	19
531	-14	-3
532	20	-3
533	-13	19
534	3	-7
535	-10	24
536	17	2
537	-6	-10
538	12	3
539	24	-6
540	-3	23
541	-4	-10
542	-18	11
543	11	-15
544	19	0
545	22	-6
546	20	-3
547	18	1
548	-23	2
549	10	-16
550	-2	23
551	-15	-3
552	-3	-2
553	18	-10
554	-20	11
555	-24	3
556	18	-10
557	-21	8
558	2	17
559	-11	21
560	-8	-10
561	18	2
562	-25	3
563	-22	5
564	-5	23
565	8	-17
566	-25	3
567	-21	11
568	-12	10
569	-10	-9
570	12	-12
571	6	17
572	23	-8
573	20	-8
574	-4	24
575	18	3
576	-9	23
577	-25	3
578	-12	18
579	-25	3
580	19	2
581	-22	11
582	-4	-10
583	11	7
584	18	4
585	-22	7
586	-5	23
587	-13	-4
588	10	11
589	7	-14
590	23	-8
591	-10	25
592	10	-17
593	11	7
594	8	-18
595	-10	25
596	-10	26
597	18	5
598	19	5
599	11	11
600	-3	22
601	23	-8
602	8	-19
603	19	5
604	11	-17
605	11	-18
606	-10	-9
607	18	6
608	-11	24
609	11	-18
610	12	11
611	-11	21
612	25	-7
613	7	-18
614	6	18
615	-26	3
616	19	6
617	-22	12
618	-22	12
619	-11	22
620	-21	3
621	-2	24
622	-11	25
623	-6	-10
624	8	14
625	8	-20
626	12	-14
627	6	19
628	-19	12
629	-26	3
630	6	-18
631	-2	-8
632	-2	24
633	-2	25
634	-24	2
635	-13	20
636	-2	26
637	-22	13
638	-12	11
639	6	-17
640	8	-21
641	-23	12
642	7	-16
643	25	-7
644	-26	4
645	25	-7
646	17	5
647	-27	4
648	12	12
649	6	20
650	-3	17
651	-6	-10
652	11	-19
653	19	-9
654	12	10
655	-4	-11
656	22	-5
657	-13	21
658	-10	-9
659	-21	2
660	19	7
661	-10	27
662	-22	7
663	-28	4
664	-2	27
665	11	-20
666	7	20
667	23	-9
668	-2	28
669	8	20
670	-23	7
671	11	-20
672	24	-5
673	-23	7
674	-13	-4
675	-28	3
676	6	-17
677	-12	25
678	13	11
679	-29	4
680	-11	26
681	13	11
682	12	-19
683	6	-18
684	-13	22
685	20	6
686	-28	5
687	-23	8
688	20	-2
689	-1	27
690	-2	28
691	12	12
692	-8	-10
693	14	11
694	25	-5
695	-2	28
696	19	2
697	-2	28
698	5	-17
699	-4	-11
700	-11	26
701	24	-4
702	9	20
703	20	0
704	5	-17
705	21	-3
706	-15	-3
