N	x	y
5890	-3	-21
5891	95	-19
5892	99	-17
5893	18	-59
5894	-22	-75
5895	-15	98
5896	73	13
5897	99	-16
5898	-48	-38
5899	-18	98
5900	-90	-13
5901	-97	-13
5902	-17	95
5903	27	-61
5904	83	7
5905	71	-27
5906	14	31
5907	20	56
5908	46	29
5909	-21	-82
5910	-18	99
5911	-60	-18
5912	-20	-81
5913	-45	44
5914	-87	15
5915	-10	-78
5916	-48	35
5917	-31	65
5918	83	7
5919	-42	-42
5920	-85	-15
5921	-81	-18
5922	-6	96
5923	-10	-49
5924	37	-42
5925	45	40
5926	53	35
5927	30	52
5928	53	39
5929	63	-11
5930	28	-60
5931	30	-54
5932	-22	-80
5933	30	53
5934	-89	17
5935	52	33
5936	7	77
5937	29	37
5938	50	41
5939	-70	-10
5940	-12	-81
5941	64	-6
5942	87	-24
5943	29	-54
5944	28	-61
5945	-14	98
5946	-102	13
5947	-93	-13
5948	-49	49
5949	0	31
5950	-72	17
5951	-50	-41
5952	28	-62
5953	-91	13
5954	-3	100
5955	-89	18
5956	31	-51
5957	51	-35
5958	-89	19
5959	-79	-16
5960	20	-69
5961	50	-26
5962	33	50
5963	91	-13
5964	37	49
5965	-12	70
5966	-98	-13
5967	29	-61
5968	-47	53
5969	-21	-74
5970	-19	-81
5971	-47	34
5972	-49	51
5973	-2	99
5974	77	8
5975	-44	-44
5976	-14	-78
5977	94	-20
5978	-33	64
5979	-46	-45
5980	75	-29
5981	-6	96
5982	-92	-15
5983	-98	-1
5984	-21	78
5985	-47	-16
5986	-47	54
5987	-98	-14
5988	-22	59
5989	-69	16
5990	51	-36
5991	90	-22
5992	18	-75
5993	-18	-81
5994	18	-76
5995	-6	-77
5996	-2	100
5997	31	-53
5998	54	-7
5999	90	-23
6000	-101	1
6001	82	6
6002	19	-72
6003	51	42
6004	-16	99
6005	94	-21
6006	-5	-72
6007	-6	100
6008	-61	-23
6009	-50	51
6010	70	-26
6011	8	75
6012	-10	-79
6013	30	53
6014	81	8
6015	-18	-81
6016	7	71
6017	31	52
6018	-99	-14
6019	-31	75
6020	-2	101
6021	75	-30
6022	99	-18
6023	-50	52
6024	-80	-19
6025	-103	13
6026	-13	-81
6027	-2	101
6028	-99	-7
6029	-78	-18
6030	-28	-8
6031	-69	17
6032	100	-16
6033	-2	102
6034	-19	98
6035	77	9
6036	98	-19
6037	-31	66
6038	-89	20
6039	-36	-2
6040	98	-19
6041	-22	-77
6042	-105	10
6043	-4	-75
6044	-100	-14
6045	36	46
6046	18	-76
6047	86	-9
6048	-99	-15
6049	-49	-27
6050	85	-10
6051	-9	66
6052	93	-21
6053	-27	72
6054	-30	76
6055	75	-31
6056	-49	-38
6057	-6	100
6058	49	41
6059	-100	-14
6060	0	62
6061	76	-31
6062	-18	100
6063	-78	-19
6064	32	11
6065	-46	-45
6066	-18	101
6067	-2	96
6068	-68	1
6069	21	56
6070	-92	-16
6071	-101	0
6072	94	-22
6073	84	7
6074	-92	-16
6075	18	-77
6076	99	-15
6077	74	10
6078	-89	21
6079	-16	20
6080	-3	101
6081	-78	-19
6082	-100	-14
6083	52	-36
6084	-106	9
6085	99	-15
6086	75	-32
6087	-100	-9
6088	20	-69
6089	-86	15
6090	-74	11
6091	12	-55
6092	-2	31
6093	21	57
6094	-2	102
6095	74	13
6096	84	8
6097	73	14
6098	99	-14
6099	-48	54
6100	37	-46
6101	35	-14
6102	-31	66
6103	-93	-15
6104	-101	13
6105	32	51
6106	-90	21
6107	-90	22
6108	-80	-20
6109	-51	-41
6110	-91	22
6111	-88	21
6112	-24	87
6113	-19	-56
6114	-92	-16
6115	19	-77
6116	93	-22
6117	-32	75
6118	-21	-83
6119	-55	15
6120	27	55
6121	99	-13
6122	-46	-45
6123	7	92
6124	-49	-38
6125	-102	8
6126	-101	-14
6127	-6	-78
6128	-19	-60
6129	87	-10
6130	-22	88
6131	-20	-83
6132	-23	-77
6133	-22	78
6134	-95	-13
6135	-88	22
6136	3	-62
6137	-52	-41
6138	81	8
6139	27	55
6140	-20	-72
6141	-3	101
6142	6	70
6143	-102	8
6144	-24	87
6145	-99	-16
6146	-20	-83
6147	15	-72
6148	-23	-75
6149	-100	-8
6150	-101	-15
6151	74	-32
6152	-45	-25
6153	-17	101
6154	-13	-81
6155	-77	-19
6156	-15	51
6157	-44	-45
6158	-86	15
6159	52	42
6160	-51	52
6161	-51	53
6162	-23	86
6163	-101	0
6164	72	14
6165	-1	101
6166	-20	-84
6167	-17	102
6168	-52	-42
6169	-92	22
6170	27	56
6171	76	-29
6172	31	-38
6173	-103	2
6174	-19	-69
6175	-104	2
6176	-21	-84
6177	-24	87
6178	-21	-84
6179	-51	53
6180	-23	-81
6181	-6	15
6182	52	42
6183	-14	-75
6184	-46	-46
6185	74	-30
6186	-20	98
6187	-90	-14
6188	53	39
6189	-80	-21
6190	3	95
6191	44	13
6192	66	16
6193	-19	100
6194	22	-48
6195	-12	-82
6196	74	-33
6197	-23	-80
6198	-18	-63
6199	-14	99
6200	-104	13
6201	72	15
6202	77	-31
6203	-23	-80
6204	19	-71
6205	27	57
6206	-21	-72
6207	4	94
6208	-65	-8
6209	-2	103
6210	-11	-82
6211	20	-72
6212	-24	-81
6213	101	-16
6214	-102	14
6215	-52	-42
6216	101	-16
6217	-7	100
6218	59	2
6219	-20	-85
6220	-19	-69
6221	-101	-1
6222	-9	-47
6223	-48	54
6224	-20	-85
6225	-18	21
6226	101	-16
6227	-21	-85
6228	-50	39
6229	-53	-27
6230	20	-25
6231	-99	-17
6232	-34	64
6233	-101	-16
6234	-10	-79
6235	-50	-42
6236	-4	84
6237	-103	1
6238	38	46
6239	-19	-85
6240	-32	75
6241	100	-13
6242	29	-55
6243	-18	-63
6244	-4	-76
6245	-50	39
6246	38	-45
6247	73	-33
6248	-80	-21
6249	53	42
6250	83	6
6251	-104	3
6252	16	-76
6253	7	92
6254	-68	14
6255	85	-24
6256	-101	-9
6257	-83	-17
6258	38	-43
6259	67	16
6260	-24	88
6261	-22	-85
6262	-88	23
6263	9	75
6264	27	-12
6265	-105	11
6266	-44	-45
6267	100	-17
6268	77	10
6269	-103	14
6270	-2	104
6271	20	-72
6272	18	54
6273	85	8
6274	72	16
6275	26	-61
6276	-19	89
6277	-47	-45
6278	-6	-79
6279	-30	77
6280	54	34
6281	-21	98
6282	-4	69
6283	18	-78
6284	-99	-17
6285	-3	104
6286	-48	55
6287	78	-13
6288	100	-13
6289	-35	64
6290	-4	-76
6291	-24	-81
6292	21	-72
6293	99	-12
6294	-107	9
6295	-23	-75
6296	-24	89
6297	-25	-13
6298	-17	103
6299	-22	85
6300	36	49
6301	92	-13
6302	-102	14
6303	-46	-30
6304	19	-67
6305	-48	56
6306	38	-43
6307	-17	-81
6308	-105	3
6309	18	-79
6310	-33	75
6311	32	24
6312	36	50
6313	86	8
6314	22	-72
6315	-102	14
6316	-4	104
6317	-19	-86
6318	-105	13
6319	-33	75
6320	9	45
6321	-102	15
6322	19	-76
6323	-5	-78
6324	-36	-7
6325	50	33
6326	-32	-35
6327	87	8
6328	-61	-24
6329	20	-76
6330	49	42
6331	-16	102
6332	-16	55
6333	-43	52
6334	17	-79
6335	-17	46
6336	-101	-17
6337	7	92
6338	-47	-45
6339	-6	-79
6340	-102	-16
6341	-24	-81
6342	-2	104
6343	29	-61
6344	9	75
6345	-34	75
6346	-1	99
6347	-2	104
6348	1	90
6349	77	-32
6350	-10	-82
6351	3	90
6352	-81	-20
6353	-12	-83
6354	21	57
6355	-72	17
6356	-24	90
6357	10	4
6358	-18	103
6359	-10	-83
6360	-104	14
6361	-20	99
6362	-52	-42
6363	-100	-8
6364	-61	-25
6365	43	40
6366	-102	-16
6367	-107	9
6368	-19	-86
6369	-49	55
6370	22	56
6371	15	-72
6372	30	-50
6373	-8	70
6374	-102	0
6375	88	8
6376	52	43
6377	20	-76
6378	-2	105
6379	-72	17
6380	-19	-86
6381	78	-24
6382	43	10
6383	7	8
6384	37	50
6385	101	-16
6386	53	38
6387	-52	-40
6388	-20	-69
6389	101	-16
6390	53	43
6391	10	-39
6392	-100	-8
6393	87	7
6394	-7	-2
6395	-40	9
6396	-96	-14
6397	26	57
6398	-17	104
6399	89	8
6400	-102	-14
6401	-73	17
6402	-53	-41
6403	-82	-20
6404	-52	53
6405	18	-80
6406	74	14
6407	78	10
6408	-16	-81
6409	-24	78
6410	-88	19
6411	-30	77
6412	100	-13
6413	-101	-9
6414	-103	-16
6415	20	-68
6416	75	14
6417	-24	-77
6418	77	11
6419	-3	74
6420	-10	-84
6421	52	32
6422	37	-46
6423	3	-62
6424	-50	-38
6425	-43	-45
6426	-2	105
6427	-51	38
6428	54	34
6429	18	-80
6430	-50	-43
6431	87	-25
6432	-85	-1
6433	-16	104
6434	-50	-43
6435	-24	-81
6436	27	58
6437	-22	-85
6438	65	16
6439	45	-35
6440	87	9
6441	-33	76
6442	-24	-77
6443	53	44
6444	54	42
6445	-17	-82
6446	-50	49
6447	-20	-69
6448	-43	-40
6449	-10	-17
6450	-22	-85
6451	98	-20
6452	3	90
6453	52	-31
6454	-49	56
6455	-100	-10
6456	28	-63
6457	-87	22
6458	14	16
6459	-21	99
6460	54	39
6461	42	40
6462	48	33
6463	-92	22
6464	-54	-41
6465	1	75
6466	7	92
6467	7	92
6468	-19	100
6469	-48	-45
6470	-25	-81
6471	37	50
6472	99	-19
6473	54	33
6474	-1	99
6475	36	51
6476	-22	-86
6477	-105	3
6478	-102	-14
6479	-104	1
6480	-72	17
6481	-33	-34
6482	28	57
6483	-31	-35
6484	12	-43
6485	98	-21
6486	78	-31
6487	-1	105
6488	-2	106
6489	-78	-20
6490	-12	-84
6491	-92	22
6492	-9	-83
6493	-1	103
6494	-51	38
6495	29	-44
6496	-46	-47
6497	-23	-85
6498	7	91
6499	-102	-17
6500	8	77
6501	89	9
6502	52	-34
6503	83	5
6504	97	-21
6505	-48	57
6506	-24	79
6507	18	23
6508	54	44
6509	-4	-77
6510	-46	-3
6511	55	42
6512	-21	-74
6513	-24	-78
6514	27	59
6515	-25	90
6516	-104	-16
6517	0	105
6518	72	-33
6519	102	-16
6520	101	-13
6521	-30	77
6522	51	42
6523	32	-53
6524	1	95
6525	54	32
6526	73	-8
6527	-12	-85
6528	-53	53
6529	-105	8
6530	-106	8
6531	-22	99
6532	53	45
6533	52	45
6534	52	46
6535	72	-34
6536	-19	-86
6537	-7	100
6538	-53	-27
6539	99	-19
6540	69	-26
6541	84	-10
6542	72	-19
6543	53	-34
6544	-24	-85
6545	26	24
6546	-20	-86
6547	-83	-20
6548	89	8
6549	-107	10
6550	102	-16
6551	-22	-87
6552	53	46
6553	-49	35
6554	72	-35
6555	19	-80
6556	82	8
6557	-10	-85
6558	71	-34
6559	86	-8
6560	53	-36
6561	72	16
6562	102	-16
6563	19	-80
6564	-61	-3
6565	-55	-41
6566	-25	-85
6567	90	9
6568	102	-16
6569	-25	87
6570	-23	99
6571	-18	-85
6572	72	16
6573	-25	-82
6574	99	-11
6575	91	9
6576	-80	-5
6577	7	90
6578	94	-23
6579	72	-36
6580	0	62
6581	14	-72
6582	71	-35
6583	23	-72
6584	-8	-83
6585	32	-51
6586	-105	13
6587	-61	-25
6588	22	-73
6589	-17	97
6590	-53	54
6591	-68	-11
6592	-90	-14
6593	-1	99
6594	73	-34
6595	13	-71
6596	-25	91
6597	-62	-22
6598	22	-73
6599	-17	-66
6600	10	-67
6601	-104	-17
6602	-106	3
6603	-90	-5
6604	-34	74
6605	84	-24
6606	-4	-75
6607	-47	-47
6608	-77	-19
6609	-8	-83
6610	53	-37
6611	-26	-82
6612	-24	79
6613	9	75
6614	-98	-17
6615	30	-55
6616	28	59
6617	-102	16
6618	-26	-85
6619	-21	98
6620	-34	63
6621	102	-16
6622	52	32
6623	-104	-17
6624	-49	-37
6625	91	9
6626	-25	92
6627	-35	63
6628	-100	2
6629	-86	15
6630	29	-62
6631	87	-8
6632	93	-23
6633	-19	103
6634	97	-22
6635	51	46
6636	71	8
6637	70	-34
6638	89	10
6639	55	44
6640	31	34
6641	-49	45
6642	-22	-88
6643	-26	-82
6644	-48	58
6645	101	-15
6646	100	-11
6647	-101	16
6648	-22	-78
6649	89	7
6650	73	16
6651	20	-77
6652	-91	23
6653	8	92
6654	-78	-21
6655	78	-31
6656	102	-16
6657	95	-22
6658	55	42
6659	-24	-75
6660	4	42
6661	-25	93
6662	53	47
6663	9	75
6664	26	57
6665	-25	-86
6666	89	11
6667	-10	-85
6668	20	-77
6669	-4	72
6670	-26	-81
6671	-12	-86
6672	23	-72
6673	-104	1
6674	-18	-64
6675	53	-38
6676	4	-42
6677	45	-36
6678	-25	88
6679	102	-13
6680	-48	-46
6681	17	-79
6682	10	75
6683	75	15
6684	29	-62
6685	-45	-47
6686	91	10
6687	-1	106
6688	-35	74
6689	-62	-24
6690	-16	105
6691	54	-38
6692	-2	107
6693	-102	-17
6694	-21	-88
6695	-85	2
6696	-25	-86
6697	-25	-77
6698	-4	105
6699	-73	18
6700	18	55
6701	-63	-24
6702	89	12
6703	-20	103
6704	-7	-67
6705	-30	77
6706	53	-38
6707	-91	-15
6708	39	46
6709	-27	-82
6710	88	11
6711	-25	-86
6712	8	90
6713	-25	88
6714	97	-23
6715	-50	21
6716	-21	-89
6717	-87	23
6718	84	5
6719	51	47
6720	-5	105
6721	99	-10
6722	-27	-85
6723	90	12
6724	-107	3
6725	17	-79
6726	-101	-9
6727	-18	92
6728	-35	65
6729	-103	16
6730	-22	-89
6731	-61	-25
6732	-17	-85
6733	-20	102
6734	29	59
6735	-50	21
6736	-26	-80
6737	-20	-89
6738	7	77
6739	-86	23
6740	11	-42
6741	-12	-87
6742	100	-11
6743	-21	102
6744	103	-13
6745	20	-78
6746	58	12
6747	-106	13
6748	55	34
6749	16	-79
6750	16	-1
6751	50	46
6752	-3	107
6753	3	96
6754	5	94
6755	-102	-14
6756	-73	15
6757	-55	-42
6758	-6	105
6759	67	17
6760	-80	-22
6761	-103	-15
6762	-51	38
6763	37	-46
6764	32	-54
6765	-1	106
6766	33	-53
6767	-47	-47
6768	-104	0
6769	51	47
6770	84	9
6771	23	-72
6772	-27	-85
6773	6	69
6774	38	49
6775	9	90
6776	72	-37
6777	103	-12
6778	-51	49
6779	-91	23
6780	-16	105
6781	15	-79
6782	-3	108
6783	54	-37
6784	71	15
6785	-25	93
6786	-105	14
6787	-90	17
6788	-57	1
6789	-49	57
6790	-3	109
6791	5	95
6792	-60	-18
6793	99	-10
6794	-31	76
6795	-21	-90
6796	39	-43
6797	102	-17
6798	-98	-18
6799	56	44
6800	72	-38
6801	8	72
6802	-44	-47
6803	1	-27
6804	-39	37
6805	-19	-86
6806	-28	78
6807	-26	-80
6808	-105	4
6809	31	-55
6810	28	60
6811	-52	52
6812	-51	48
6813	-26	-79
6814	-102	-13
6815	5	95
6816	-23	-88
6817	-7	16
6818	-103	-15
6819	86	-7
6820	90	12
6821	-55	-41
6822	-27	-83
6823	-103	16
6824	-49	40
6825	50	-36
6826	0	99
6827	6	94
6828	102	-18
6829	88	-24
6830	103	-11
6831	-11	-86
6832	21	-78
6833	-106	13
6834	15	-80
6835	9	90
6836	-92	22
6837	-49	1
6838	-105	15
6839	-35	74
6840	7	89
6841	-10	-85
6842	-47	-48
6843	-20	-60
6844	-54	54
6845	51	48
6846	78	8
6847	92	-23
6848	-4	84
6849	-12	-87
6850	-28	-85
6851	102	-14
6852	57	44
6853	53	48
6854	-55	54
6855	30	-61
6856	32	-55
6857	71	-38
6858	-98	-18
6859	33	-55
6860	-107	2
6861	-104	-17
6862	-99	-18
6863	-35	73
6864	-14	49
6865	28	61
6866	78	-24
6867	-3	110
6868	-91	24
6869	79	10
6870	-106	15
6871	-105	2
6872	-21	-91
6873	-55	-43
6874	-21	102
6875	70	-38
6876	0	105
6877	-30	78
6878	102	-14
6879	-92	23
6880	99	-9
6881	15	-56
6882	53	35
6883	-102	-9
6884	-17	-86
6885	64	16
6886	-8	-84
6887	12	-71
6888	-56	-42
6889	28	61
6890	-22	102
6891	-77	-21
6892	-61	-25
6893	90	12
6894	-16	106
6895	-2	110
6896	-52	49
6897	-9	-85
6898	-36	64
6899	-49	57
6900	-98	-18
6901	87	-26
6902	-104	-16
6903	-22	102
6904	55	32
6905	-2	7
6906	-3	-77
6907	17	35
6908	38	50
6909	-106	8
6910	0	99
6911	-24	99
6912	98	-23
6913	53	-34
6914	-20	104
6915	103	-11
6916	-56	11
6917	15	-81
6918	-105	-16
6919	-92	-17
6920	73	17
6921	72	-39
6922	-12	-88
6923	99	-9
6924	-13	-88
6925	15	-36
6926	-54	55
6927	-49	57
6928	-107	15
6929	-28	-83
6930	69	-34
6931	-107	16
6932	-7	-84
6933	-8	-83
6934	22	56
6935	-21	-85
6936	-25	21
6937	-108	15
6938	-6	-61
6939	-102	-13
6940	-3	110
6941	-3	19
6942	-12	-89
6943	79	11
6944	99	-21
6945	-20	104
6946	28	-64
6947	-51	-38
6948	-24	99
6949	30	-61
6950	54	47
6951	-2	-77
6952	55	34
6953	-1	110
6954	-10	6
6955	-20	104
6956	72	-40
6957	-98	-19
6958	-104	-15
6959	6	95
6960	-30	-35
6961	0	100
6962	-26	-77
6963	-2	38
6964	-3	111
6965	-107	16
6966	30	54
6967	73	-39
6968	-34	75
6969	-3	111
6970	30	-61
6971	-40	-5
6972	-105	1
6973	-51	20
6974	-16	102
6975	-102	17
6976	97	-24
6977	72	-41
6978	29	61
6979	-21	-69
6980	75	-32
6981	-109	15
6982	-37	64
6983	-108	10
6984	73	18
6985	-24	-88
6986	-21	104
6987	-86	23
6988	-49	-45
6989	77	12
6990	27	-63
6991	10	-68
6992	-67	-10
6993	-55	-44
6994	-56	-44
6995	14	-81
6996	-21	-60
6997	1	2
6998	-83	-18
6999	33	-55
7000	-104	-18
7001	-36	73
7002	31	-61
7003	72	-42
7004	5	96
7005	-20	104
7006	-104	-19
7007	100	-11
7008	28	62
7009	-45	-48
7010	73	-40
7011	0	99
7012	90	8
7013	18	-80
7014	-19	-61
7015	-98	-19
7016	10	76
7017	99	-9
7018	-110	15
7019	74	-34
7020	-26	91
7021	-86	24
7022	33	-52
7023	-73	19
7024	-9	-46
7025	31	-62
7026	-110	16
7027	-54	56
7028	31	-62
7029	-11	-88
7030	20	-73
7031	-22	102
7032	-93	23
7033	-48	21
7034	-111	15
7035	-29	-85
7036	-104	0
7037	-22	-91
7038	20	-80
7039	15	-82
7040	73	-42
7041	97	-25
7042	78	-32
7043	91	11
7044	-98	-19
7045	77	12
7046	17	55
7047	-62	-1
7048	-3	112
7049	-34	75
7050	-110	16
7051	-16	107
7052	-81	-21
7053	-78	-22
7054	-25	-75
7055	99	-23
7056	103	-18
7057	-36	-8
7058	73	-43
7059	-4	109
7060	-4	112
7061	92	10
7062	-45	-48
7063	103	-11
7064	49	-28
7065	87	-27
7066	-36	74
7067	102	-16
7068	-64	-24
7069	-24	1
7070	75	16
7071	-105	-16
7072	-35	72
7073	-5	112
7074	40	-43
7075	-41	-38
7076	-9	70
7077	-21	-91
7078	-111	14
7079	82	9
7080	57	44
7081	9	89
7082	83	4
7083	-63	-25
7084	-63	-25
7085	-6	-80
7086	-56	54
7087	0	110
7088	88	11
7089	103	-19
7090	74	-34
7091	-91	24
7092	98	-24
7093	103	-10
7094	15	-76
7095	-51	39
7096	0	105
7097	28	-65
7098	103	-20
7099	-104	-14
7100	-56	-45
7101	-55	56
7102	104	-13
7103	-23	-91
7104	56	45
7105	87	11
7106	97	-26
7107	-33	13
7108	96	-26
7109	103	-17
7110	-26	93
7111	97	-27
7112	-105	-19
7113	-107	2
7114	-22	-92
7115	103	-9
7116	74	-42
7117	-56	56
7118	-35	75
7119	39	50
7120	91	-12
7121	-107	4
7122	-3	113
7123	-102	-18
7124	-112	15
7125	73	-44
7126	71	-42
7127	-84	-4
7128	88	12
7129	-27	60
7130	51	48
7131	34	-9
7132	-8	-85
7133	-16	108
7134	51	48
7135	30	-60
7136	8	77
7137	-10	-88
7138	57	44
7139	-4	113
7140	-104	-1
7141	-8	-86
7142	-4	107
7143	30	59
7144	45	11
7145	-29	-83
7146	-107	8
7147	-91	-17
7148	-3	114
7149	20	56
7150	-28	-86
7151	-107	1
7152	104	-9
7153	79	-32
7154	-28	-86
7155	-24	-89
7156	-78	-23
7157	-56	54
7158	87	7
7159	-56	-46
7160	88	-24
7161	-56	-41
7162	-111	14
7163	70	-42
7164	-111	14
7165	-90	-17
7166	-89	-17
7167	32	-62
7168	-24	79
7169	21	-78
7170	-52	20
7171	72	-44
7172	-110	16
7173	-21	-91
7174	-110	16
7175	-103	17
7176	-73	15
7177	21	-80
7178	-112	16
7179	-1	107
7180	104	-20
7181	-105	-19
7182	21	-80
7183	5	-11
7184	98	-24
7185	74	-39
7186	8	72
7187	52	-37
7188	55	41
7189	74	18
7190	40	-35
7191	-5	-41
7192	-106	-16
7193	-69	17
7194	93	10
7195	-55	-45
7196	-21	-61
7197	-107	14
7198	-107	-16
7199	92	11
7200	-77	-23
7201	-22	-92
7202	-45	-48
7203	-3	115
7204	27	62
7205	72	-45
7206	88	-27
7207	3	94
7208	-48	59
7209	-52	-39
7210	-107	-16
7211	-3	-76
7212	98	-9
7213	-61	-26
7214	-56	-42
7215	-22	-93
7216	93	11
7217	88	-28
7218	9	92
7219	-57	54
7220	-5	-1
7221	21	-81
7222	-14	-88
7223	-9	-88
7224	-107	-16
7225	-102	-19
7226	74	-41
7227	53	-8
7228	28	63
7229	26	50
7230	-9	-89
7231	-48	45
7232	11	75
7233	-6	-80
7234	97	-28
7235	-86	25
7236	104	-9
7237	32	-62
7238	-80	-22
7239	-23	-93
7240	-113	15
7241	75	-42
7242	-47	-48
7243	-27	91
7244	-22	103
7245	26	-2
7246	-98	-20
7247	53	48
7248	-19	-55
7249	-64	-23
7250	93	11
7251	72	17
7252	-15	108
7253	58	44
7254	-23	-94
7255	103	-21
7256	69	-20
7257	-29	-85
7258	56	45
7259	22	-80
7260	74	-44
7261	-111	13
7262	21	-76
7263	-106	-17
7264	28	64
7265	22	-80
7266	-108	16
7267	-5	83
7268	-102	-20
7269	34	-55
7270	91	8
7271	73	-15
7272	-4	111
7273	-107	-16
7274	-17	105
7275	-27	-77
7276	72	-46
7277	28	24
7278	55	-38
7279	55	47
7280	-24	98
7281	-102	-9
7282	-28	-77
7283	30	59
7284	14	-81
7285	103	-8
7286	27	-65
7287	-15	8
7288	-6	55
7289	75	-42
7290	29	62
7291	-24	-93
7292	-107	17
7293	-26	94
7294	-89	12
7295	-107	-16
7296	73	-45
7297	104	-9
7298	-27	94
7299	105	-20
7300	-104	16
7301	-111	13
7302	104	-21
7303	-3	116
7304	105	-13
7305	-90	24
7306	-4	116
7307	-36	72
7308	-56	15
7309	53	49
7310	-108	-16
7311	-39	2
7312	39	51
7313	-43	20
7314	-5	116
7315	-21	2
7316	-113	14
7317	-52	39
7318	103	-22
7319	73	19
7320	-37	63
7321	-110	16
7322	92	12
7323	73	-46
7324	-27	92
7325	-110	17
7326	105	-13
7327	75	-33
7328	-91	25
7329	-16	109
7330	-22	47
7331	16	-82
7332	105	-21
7333	21	-81
7334	16	-83
7335	-23	-95
7336	-22	-94
7337	27	-66
7338	79	-32
7339	-105	-15
7340	-6	106
7341	-8	-89
7342	10	90
7343	-92	-9
7344	9	93
7345	-97	-19
7346	105	-21
7347	-105	-20
7348	64	4
7349	-45	-49
7350	-31	77
7351	29	-65
7352	-113	13
7353	75	-33
7354	-21	-93
7355	-49	-45
7356	-99	-20
7357	-110	18
7358	40	46
7359	86	-27
7360	72	-47
7361	-34	62
7362	40	-42
7363	-29	-85
7364	-33	77
7365	65	-18
7366	-81	-22
7367	104	-8
7368	-23	-96
7369	-107	-17
7370	-2	115
7371	-86	22
7372	-110	19
7373	10	44
7374	40	-43
7375	-102	-21
7376	-26	-75
7377	-16	110
7378	-15	108
7379	-21	104
7380	73	-46
7381	-2	-77
7382	7	94
7383	67	18
7384	-23	-96
7385	104	-17
7386	-29	-77
7387	-57	-42
7388	106	-21
7389	73	19
7390	-23	-97
7391	-23	100
7392	-24	-94
7393	54	48
7394	16	-84
7395	1	110
7396	-114	14
7397	105	-9
7398	-105	-20
7399	-25	-89
7400	107	-21
7401	33	-62
7402	56	34
7403	-102	-22
7404	-52	40
7405	-106	-20
7406	55	-37
7407	-107	1
7408	87	-8
7409	-57	-45
7410	88	12
7411	-114	14
7412	-57	-43
7413	-12	-90
7414	-57	-45
7415	-106	-15
7416	17	-83
7417	75	-44
7418	-72	19
7419	-25	-94
7420	-115	14
7421	-94	23
7422	-58	54
7423	-36	33
7424	50	48
7425	-49	57
7426	-51	19
7427	86	-11
7428	106	-9
7429	27	-28
7430	28	64
7431	-17	107
7432	102	-8
7433	104	-19
7434	52	45
7435	-17	109
7436	9	15
7437	-69	11
7438	-3	117
7439	-86	22
7440	30	59
7441	-24	-97
7442	-86	25
7443	107	-21
7444	6	-33
7445	-108	-16
7446	55	35
7447	94	10
7448	-111	19
7449	92	-24
7450	56	46
7451	30	-65
7452	-19	1
7453	-106	-20
7454	-6	-41
7455	-52	52
7456	-86	25
7457	-3	117
7458	108	-21
7459	-29	-8
7460	91	-11
7461	24	-15
7462	-34	77
7463	106	-8
7464	-5	117
7465	75	-44
7466	-3	-78
7467	-31	-36
7468	29	63
7469	9	93
7470	-16	111
7471	96	-28
7472	-15	109
7473	-8	-10
7474	-56	57
7475	7	94
7476	38	-46
7477	-56	-46
7478	15	-82
7479	108	-21
7480	107	-9
7481	-29	-86
7482	-107	-15
7483	33	45
7484	-28	-82
7485	-64	-25
7486	104	-8
7487	-81	-23
7488	-112	19
7489	106	-7
7490	89	-28
7491	21	-81
7492	108	-22
7493	-30	-86
7494	-24	-97
7495	10	92
7496	30	-65
7497	-5	117
7498	43	2
7499	15	-84
7500	79	11
7501	-102	-22
7502	107	-20
7503	-20	105
7504	21	-68
7505	95	-28
7506	33	-63
7507	-17	110
7508	-7	-89
7509	-47	58
7510	29	-62
7511	-17	5
7512	-17	110
7513	-35	-18
7514	15	-85
7515	-67	9
7516	30	62
7517	-29	-77
7518	-81	-23
7519	7	89
7520	-40	-27
7521	-3	118
7522	-37	-37
7523	-9	-89
7524	84	10
7525	76	-44
7526	-108	10
7527	102	-7
7528	-21	-93
7529	83	10
7530	-115	14
7531	-2	118
7532	71	-45
7533	59	44
7534	-28	91
7535	-23	-97
7536	-8	-90
7537	-23	-97
7538	73	19
7539	-26	88
7540	106	-6
7541	81	5
7542	-102	18
7543	-107	7
7544	-47	-49
7545	73	20
7546	-111	20
7547	71	-37
7548	-6	72
7549	59	45
7550	-115	13
7551	-2	119
7552	-25	-94
7553	33	-63
7554	6	19
7555	21	57
7556	-44	-48
7557	-37	73
7558	-31	-86
7559	-2	119
7560	92	13
7561	-28	92
7562	98	-28
7563	-18	109
7564	-86	25
7565	10	89
7566	-47	-49
7567	57	45
7568	35	-55
7569	-25	-97
7570	56	-37
7571	-56	58
7572	9	-6
7573	95	-28
7574	-14	109
7575	-2	113
7576	-105	-1
7577	-4	118
7578	60	44
7579	-8	92
7580	-108	4
7581	41	-1
7582	17	56
7583	75	-45
7584	27	-13
7585	-101	-22
7586	-107	7
7587	-55	57
7588	-2	120
7589	106	-5
7590	-4	118
7591	-19	-64
7592	88	13
7593	-25	-98
7594	9	94
7595	-25	77
7596	73	21
7597	11	92
7598	-49	-43
7599	19	-81
7600	95	10
7601	-64	-25
7602	105	-13
7603	-9	-90
7604	106	-4
7605	-54	56
7606	-20	105
7607	60	44
7608	57	34
7609	-6	-84
7610	-116	13
7611	74	20
7612	-44	-48
7613	21	58
7614	79	-33
7615	-31	-86
7616	96	10
7617	107	-5
7618	93	10
7619	74	20
