N	x0	y0	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5	x6	y6	x7	y7	x8	y8	x9	y9	x10	y10	x11	y11	x12	y12	x13	y13	x14	y14	x15	y15	x16	y16	x17	y17	x18	y18	x19	y19	x^2	y^2	x^2+y^2
580	-2.306581723e-01	-6.719021501e-01	-2.787806137e+00	-1.157739364e+00	-1.618310511e+00	4.552442896e-01	-1.316831445e-02	1.380138960e+00	-2.463560846e-01	-5.067137356e-01	-1.462640530e+00	9.006174899e-01	1.213138617e-01	-8.779260572e-01	-8.570043982e-02	1.327079778e-01	-1.714562313e-02	4.335119703e-01	6.013500590e-01	-1.809558191e+00	2.125768326e-01	-4.211740187e-01	1.418411573e+00	1.433138048e-01	1.470490648e+00	9.363276163e-01	1.999963440e+00	-3.144611641e-01	6.061945648e-01	1.112051311e+00	-1.373787322e+00	-3.435184989e-01	-2.580195982e-01	-1.135387417e+00	-6.918793186e-01	-1.315707389e+00	6.968622194e-01	-8.366783378e-01	5.692174041e-01	3.369103758e-01	1.242854573e+00	7.792214018e-01	2.022075975e+00
581	-2.306581723e-01	-6.719021501e-01	-1.445122576e+00	-2.875136237e+00	-1.382907342e+00	1.076304268e+00	2.134989870e-01	-4.225261450e-01	-2.463560846e-01	-5.067137356e-01	-1.643120857e+00	-3.223888654e-02	1.213138617e-01	-8.779260572e-01	-8.570043982e-02	1.327079778e-01	-1.714562313e-02	4.335119703e-01	6.013500590e-01	-1.809558191e+00	1.732750957e-01	2.345338360e-01	1.418411573e+00	1.433138048e-01	1.869059439e+00	2.819840454e-01	1.999963440e+00	-3.144611641e-01	6.061945648e-01	1.112051311e+00	-4.733372276e-01	-1.878784764e+00	-2.580195982e-01	-1.135387417e+00	-6.918793186e-01	-1.315707389e+00	6.968622194e-01	-8.366783378e-01	1.751967127e+00	1.011502205e+00	1.073553070e+00	1.216360564e+00	2.289913633e+00
582	-7.180731856e-01	1.439698180e-01	-1.445122576e+00	-2.875136237e+00	-8.645756595e-01	-7.231094475e-01	2.134989870e-01	-4.225261450e-01	-2.463560846e-01	-5.067137356e-01	4.975146591e-02	1.472887502e+00	-1.886001613e-01	1.970883524e-01	-8.570043982e-02	1.327079778e-01	-1.714562313e-02	4.335119703e-01	1.331496044e+00	-4.459805497e-01	1.820746365e-01	-7.158447926e-02	8.876786987e-01	-1.284110937e+00	1.826511221e+00	-4.259153798e-01	1.999963440e+00	-3.144611641e-01	6.061945648e-01	1.112051311e+00	4.887404459e-01	-1.239325350e+00	-2.347215713e-01	-9.654483312e-01	-6.918793186e-01	-1.315707389e+00	2.879459124e-01	7.069497108e-01	1.279804371e-01	2.067206667e+00	7.336440910e-01	1.200061617e+00	1.933705708e+00
583	-7.180731856e-01	1.439698180e-01	-2.868985229e+00	-1.334735882e+00	-7.966687699e-01	5.879837887e-01	-1.046027987e+00	5.076149529e-01	-2.175600271e-01	8.686240461e-01	-5.697237167e-03	5.465349281e-01	3.196917632e-01	6.594644734e-01	-8.570043982e-02	1.327079778e-01	-5.213121266e-01	9.070886744e-01	-2.776333709e-01	-4.840653484e-01	1.820746365e-01	-7.158447926e-02	5.550484229e-01	-2.001155701e+00	2.376265941e+00	-2.298325078e+00	1.627325821e+00	-8.349271445e-01	6.061945648e-01	1.112051311e+00	4.887404459e-01	-1.239325350e+00	3.895742286e-01	-2.259400070e-01	-8.680027987e-01	-1.223038467e+00	9.465339909e-01	1.967851549e-01	-6.079237379e-01	2.725736437e+00	1.119720641e+00	1.337272903e+00	2.456993544e+00
584	-9.990342874e-02	5.230731541e-01	-2.868985229e+00	-1.334735882e+00	-7.966687699e-01	5.879837887e-01	-1.046027987e+00	5.076149529e-01	-2.175600271e-01	8.686240461e-01	2.245172789e-03	1.034619072e+00	-7.841092609e-01	6.756516155e-01	-8.971676037e-01	4.084723095e-03	-5.213121266e-01	9.070886744e-01	-2.776333709e-01	-4.840653484e-01	4.811437096e-01	-1.017672150e+00	9.240611578e-01	-1.604120491e+00	2.376265941e+00	-2.298325078e+00	1.817382766e-01	3.752141708e-01	1.620916391e-01	2.741777066e-01	-6.496511437e-01	-1.186771379e+00	-1.340929424e+00	3.991702147e-01	2.626626817e-01	-1.928308495e+00	9.465339909e-01	1.967851549e-01	-6.079237379e-01	2.725736437e+00	1.106589609e+00	1.392936765e+00	2.499526374e+00
585	6.829745187e-01	-1.047264412e+00	-2.868985229e+00	-1.334735882e+00	-1.815483521e+00	1.684636916e-01	-1.046027987e+00	5.076149529e-01	-2.175600271e-01	8.686240461e-01	1.213222894e+00	1.137185085e+00	2.828578005e-01	9.910530024e-01	-1.785657730e+00	1.150529261e+00	5.139139558e-01	-2.481444435e-01	-2.776333709e-01	-4.840653484e-01	-1.006385919e+00	-1.728146710e+00	9.240611578e-01	-1.604120491e+00	2.376265941e+00	-2.298325078e+00	1.817382766e-01	3.752141708e-01	1.620916391e-01	2.741777066e-01	1.042294841e+00	-5.061161723e-02	-2.469858024e-01	1.909619808e+00	2.626626817e-01	-1.928308495e+00	-3.065347958e-01	-5.303136603e-01	3.070496794e-01	2.083961065e+00	1.359697836e+00	1.543174597e+00	2.902872433e+00
586	2.643341986e-01	4.648763683e-01	-2.868985229e+00	-1.334735882e+00	7.942604878e-02	1.136018386e-01	-1.046027987e+00	5.076149529e-01	-1.618379324e+00	2.098708833e+00	-9.703827537e-03	1.607770578e+00	2.828578005e-01	9.910530024e-01	-9.400042956e-01	2.047803544e+00	-2.001031656e-01	-3.339039345e-01	-2.776333709e-01	-4.840653484e-01	-1.006385919e+00	-1.728146710e+00	9.240611578e-01	-1.604120491e+00	1.495223896e+00	-1.371974948e+00	9.894417343e-01	1.847228235e+00	1.620916391e-01	2.741777066e-01	-3.997998374e-01	-9.358668706e-01	-9.800586382e-01	7.544672685e-01	2.626626817e-01	-1.928308495e+00	-3.065347958e-01	-5.303136603e-01	-1.417399091e+00	1.873474003e+00	1.075070546e+00	1.733161144e+00	2.808231690e+00
587	2.643341986e-01	4.648763683e-01	-2.868985229e+00	-1.334735882e+00	-1.380509556e+00	-4.240995742e-01	-1.331964487e-01	1.867286478e+00	-1.618379324e+00	2.098708833e+00	8.407599181e-01	-2.480566718e-01	4.080981217e-01	7.051312384e-01	-9.400042956e-01	2.047803544e+00	-7.677857044e-01	4.256669270e-01	-2.776333709e-01	-4.840653484e-01	-1.354488722e+00	-2.919518989e-01	9.240611578e-01	-1.604120491e+00	1.495223896e+00	-1.371974948e+00	-7.420042795e-01	1.834074289e+00	1.620916391e-01	2.741777066e-01	-3.997998374e-01	-9.358668706e-01	6.213575466e-01	3.562852089e-01	2.626626817e-01	-1.928308495e+00	-3.065347958e-01	-5.303136603e-01	-1.417399091e+00	1.873474003e+00	1.174311039e+00	1.586431685e+00	2.760742723e+00
588	2.039399001e+00	1.790054584e-01	-2.868985229e+00	-1.334735882e+00	-1.197175339e+00	-9.259163574e-01	-1.331964487e-01	1.867286478e+00	-1.949031982e-01	1.661947716e+00	8.407599181e-01	-2.480566718e-01	4.080981217e-01	7.051312384e-01	-9.400042956e-01	2.047803544e+00	2.222144491e-01	-8.417537365e-01	-2.776333709e-01	-4.840653484e-01	-2.012109684e+00	1.272542267e+00	-3.022237061e-02	-4.473827754e-01	2.292776387e-01	-1.930725829e+00	-7.420042795e-01	1.834074289e+00	1.620916391e-01	2.741777066e-01	1.161052765e+00	9.138159420e-01	6.213575466e-01	3.562852089e-01	1.981531729e+00	-4.962360904e-01	-3.065347958e-01	-5.303136603e-01	-1.140765969e+00	4.635378592e-02	1.374874458e+00	1.254633631e+00	2.629508089e+00
589	2.039399001e+00	1.790054584e-01	-2.842794078e+00	-1.940070171e+00	2.019224890e-01	-6.887280738e-01	1.537780233e+00	1.723729212e-01	-1.949031982e-01	1.661947716e+00	6.444438627e-01	-1.331998879e+00	4.080981217e-01	7.051312384e-01	-9.400042956e-01	2.047803544e+00	7.523998790e-01	-1.015234095e+00	-8.132909132e-01	-1.080378930e+00	-1.942213614e+00	1.815787512e+00	-6.555585113e-01	3.280999424e-01	-5.789946378e-01	-1.562876908e+00	-7.420042795e-01	1.834074289e+00	1.620916391e-01	2.741777066e-01	1.034800410e+00	-6.095172216e-01	-4.944288396e-01	3.344924216e-01	1.981531729e+00	-4.962360904e-01	-9.397903420e-01	1.437224250e-01	9.332932515e-02	1.085967834e+00	1.431242386e+00	1.347042125e+00	2.778284511e+00
590	2.895417662e-01	-1.471534991e+00	-2.842794078e+00	-1.940070171e+00	2.019224890e-01	-6.887280738e-01	2.292730796e-01	-1.307351071e+00	7.286226323e-01	3.605818617e-01	8.126895228e-01	-8.271899187e-01	-1.815501450e-01	8.867121865e-01	-5.421888482e-03	3.743202905e-01	5.173125752e-01	-1.275488441e-01	-8.132909132e-01	-1.080378930e+00	-1.942213614e+00	1.815787512e+00	2.306158446e-03	-9.403949995e-01	-5.789946378e-01	-1.562876908e+00	-7.420042795e-01	1.834074289e+00	1.620916391e-01	2.741777066e-01	1.116895018e+00	-2.454302886e-01	-4.944288396e-01	3.344924216e-01	6.210738039e-01	-1.112577894e+00	-1.000503205e-01	4.542637545e-01	-1.720697927e+00	1.299480275e-01	9.972393618e-01	1.136656533e+00	2.133895895e+00
591	-1.522223484e-01	-1.001008800e+00	-2.842794078e+00	-1.940070171e+00	-1.340448174e+00	2.875428379e-01	2.292730796e-01	-1.307351071e+00	7.286226323e-01	3.605818617e-01	8.126895228e-01	-8.271899187e-01	1.942266396e-01	9.671313443e-01	-5.421888482e-03	3.743202905e-01	-9.706579856e-02	-1.384876472e+00	-2.029423362e+00	-4.184468185e-01	-1.052803651e+00	9.290440950e-01	1.006198202e+00	-5.268188749e-01	-5.789946378e-01	-1.562876908e+00	-7.420042795e-01	1.834074289e+00	-1.616215013e+00	-7.257285516e-01	-7.556654480e-01	-7.691850609e-01	-4.079093570e-01	-9.325629755e-01	1.230475377e+00	9.965502752e-02	-1.000503205e-01	4.542637545e-01	-3.471569649e-01	2.328910423e-01	1.165595563e+00	9.873020166e-01	2.152897579e+00
