q	p	scale
3	15	1.664332867e-01
3	16	1.703340668e-01
3	17	1.676335267e-01
3	18	1.652330466e-01
3	19	1.722344469e-01
3	20	1.695339068e-01
3	21	1.663332667e-01
3	22	1.633326665e-01
3	23	1.670334067e-01
3	24	1.664332867e-01
3	25	1.664332867e-01
3	26	1.651330266e-01
3	27	1.652330466e-01
3	28	1.718343669e-01
3	29	1.657331466e-01
3	30	1.677335467e-01
3	31	1.685337067e-01
3	32	1.674334867e-01
3	33	1.632326465e-01
3	34	1.651330266e-01
3	35	1.625325065e-01
3	36	1.707341468e-01
3	37	1.693338668e-01
3	38	1.702340468e-01
3	39	1.667333467e-01
3	40	1.666333267e-01
3	41	1.695339068e-01
3	42	1.702340468e-01
3	43	1.581316263e-01
3	44	1.632326465e-01
3	45	1.658331666e-01
3	46	1.627325465e-01
3	47	1.678335667e-01
3	48	1.686337267e-01
3	49	1.649329866e-01
3	50	1.662332466e-01
3	51	1.658331666e-01
3	52	1.660332066e-01
3	53	1.661332266e-01
3	54	1.608321664e-01
3	55	1.674334867e-01
3	56	1.598319664e-01
3	57	1.693338668e-01
3	58	1.689337868e-01
3	59	1.675335067e-01
3	60	1.678335667e-01
3	61	1.697339468e-01
3	62	1.683336667e-01
3	63	1.698339668e-01
3	64	1.606321264e-01
3	65	1.640328066e-01
3	66	1.664332867e-01
3	67	1.644328866e-01
3	68	1.633326665e-01
3	69	1.672334467e-01
3	70	1.695339068e-01
3	71	1.663332667e-01
3	72	1.669333867e-01
3	73	1.655331066e-01
3	74	1.665333067e-01
3	75	1.600320064e-01
3	76	1.653330666e-01
3	77	1.663332667e-01
3	78	1.657331466e-01
3	79	1.687337467e-01
3	80	1.670334067e-01
3	81	1.576315263e-01
3	82	1.655331066e-01
3	83	1.692338468e-01
3	84	1.641328266e-01
3	85	1.664332867e-01
3	86	1.655331066e-01
3	87	1.658331666e-01
3	88	1.644328866e-01
3	89	1.657331466e-01
3	90	1.700340068e-01
3	91	1.685337067e-01
3	92	1.637327465e-01
3	93	1.620324065e-01
3	94	1.657331466e-01
3	95	1.675335067e-01
3	96	1.653330666e-01
3	97	1.689337868e-01
3	98	1.606321264e-01
3	99	1.623324665e-01
3	100	1.607321464e-01
4	1	1.625325065e-01
4	2	1.653330666e-01
4	3	1.669333867e-01
4	4	1.937387477e-01
4	5	1.639327866e-01
4	6	1.646329266e-01
4	7	1.654330866e-01
4	8	1.677335467e-01
4	9	1.655331066e-01
4	10	1.667333467e-01
4	11	1.709341868e-01
4	12	1.636327265e-01
4	13	1.702340468e-01
4	14	1.656331266e-01
4	15	1.603320664e-01
4	16	1.657331466e-01
4	17	1.680336067e-01
4	18	1.640328066e-01
4	19	1.689337868e-01
4	20	1.617323465e-01
4	21	1.633326665e-01
4	22	1.632326465e-01
4	23	1.643328666e-01
4	24	1.725345069e-01
4	25	1.677335467e-01
4	26	1.634326865e-01
4	27	1.701340268e-01
4	28	1.661332266e-01
4	29	1.677335467e-01
4	30	1.707341468e-01
4	31	1.669333867e-01
4	32	1.681336267e-01
4	33	1.642328466e-01
4	34	1.679335867e-01
4	35	1.637327465e-01
4	36	1.657331466e-01
4	37	1.694338868e-01
4	38	1.651330266e-01
4	39	1.675335067e-01
4	40	1.647329466e-01
4	41	1.669333867e-01
4	42	1.672334467e-01
4	43	1.623324665e-01
4	44	1.645329066e-01
4	45	1.637327465e-01
4	46	1.698339668e-01
4	47	1.672334467e-01
4	48	1.717343469e-01
4	49	1.672334467e-01
4	50	1.631326265e-01
4	51	1.620324065e-01
4	52	1.645329066e-01
4	53	1.671334267e-01
4	54	1.683336667e-01
4	55	1.640328066e-01
4	56	1.699339868e-01
4	57	1.704340868e-01
4	58	1.662332466e-01
4	59	1.650330066e-01
4	60	1.625325065e-01
4	61	1.677335467e-01
4	62	1.664332867e-01
4	63	1.689337868e-01
4	64	1.688337668e-01
4	65	1.688337668e-01
4	66	1.635327065e-01
4	67	1.659331866e-01
4	68	1.676335267e-01
4	69	1.648329666e-01
4	70	1.613322665e-01
4	71	1.648329666e-01
4	72	1.666333267e-01
4	73	1.659331866e-01
4	74	1.664332867e-01
4	75	1.639327866e-01
4	76	1.711342268e-01
4	77	1.650330066e-01
4	78	1.643328666e-01
4	79	1.770354071e-01
4	80	1.666333267e-01
4	81	1.673334667e-01
4	82	1.650330066e-01
4	83	1.697339468e-01
4	84	1.674334867e-01
4	85	1.605321064e-01
4	86	1.628325665e-01
4	87	1.686337267e-01
4	88	1.651330266e-01
4	89	1.660332066e-01
4	90	1.737347469e-01
4	91	1.671334267e-01
4	92	1.655331066e-01
4	93	1.691338268e-01
4	94	1.645329066e-01
4	95	1.664332867e-01
4	96	1.692338468e-01
4	97	1.679335867e-01
4	98	1.704340868e-01
4	99	1.671334267e-01
4	100	1.748349670e-01
5	1	1.715343069e-01
5	2	1.640328066e-01
5	3	1.651330266e-01
5	4	1.639327866e-01
5	5	1.614322865e-01
5	6	1.656331266e-01
5	7	1.622324465e-01
5	8	1.688337668e-01
5	9	1.704340868e-01
5	10	1.654330866e-01
5	11	1.625325065e-01
5	12	1.678335667e-01
5	13	1.665333067e-01
5	14	1.683336667e-01
5	15	1.635327065e-01
5	16	1.695339068e-01
5	17	1.672334467e-01
5	18	1.658331666e-01
5	19	1.659331866e-01
5	20	1.663332667e-01
5	21	1.621324265e-01
5	22	1.661332266e-01
5	23	1.696339268e-01
5	24	1.688337668e-01
5	25	1.652330466e-01
5	26	1.625325065e-01
5	27	1.684336867e-01
5	28	1.673334667e-01
5	29	1.687337467e-01
5	30	1.659331866e-01
5	31	1.681336267e-01
5	32	1.690338068e-01
5	33	1.668333667e-01
5	34	1.644328866e-01
5	35	1.679335867e-01
5	36	1.670334067e-01
5	37	1.674334867e-01
5	38	1.699339868e-01
5	39	1.677335467e-01
5	40	1.677335467e-01
5	41	1.666333267e-01
5	42	1.680336067e-01
5	43	1.679335867e-01
5	44	1.618323665e-01
5	45	1.688337668e-01
5	46	1.631326265e-01
5	47	1.664332867e-01
5	48	1.632326465e-01
5	49	1.661332266e-01
5	50	1.719343869e-01
5	51	1.656331266e-01
5	52	1.656331266e-01
5	53	1.695339068e-01
5	54	1.644328866e-01
5	55	1.666333267e-01
5	56	1.636327265e-01
5	57	1.689337868e-01
5	58	1.684336867e-01
5	59	1.676335267e-01
5	60	1.672334467e-01
5	61	1.643328666e-01
5	62	1.704340868e-01
5	63	1.639327866e-01
5	64	1.705341068e-01
5	65	1.689337868e-01
5	66	1.656331266e-01
5	67	1.695339068e-01
