t	<x^1>
253	3.060000000e-05
254	3.292000000e-05
255	2.924000000e-05
256	2.884000000e-05
257	2.458000000e-05
258	2.596000000e-05
259	2.594000000e-05
260	2.362000000e-05
261	2.680000000e-05
262	3.108000000e-05
263	3.020000000e-05
264	3.194000000e-05
265	3.352000000e-05
266	3.682000000e-05
267	3.264000000e-05
268	2.906000000e-05
269	2.972000000e-05
270	2.856000000e-05
271	2.710000000e-05
272	3.200000000e-05
273	3.588000000e-05
274	3.572000000e-05
275	3.228000000e-05
276	3.514000000e-05
277	3.238000000e-05
278	3.484000000e-05
279	3.370000000e-05
280	3.690000000e-05
281	3.532000000e-05
282	3.228000000e-05
283	3.764000000e-05
284	4.194000000e-05
285	4.040000000e-05
286	4.000000000e-05
287	4.186000000e-05
288	4.446000000e-05
289	4.396000000e-05
290	4.226000000e-05
291	3.970000000e-05
292	3.484000000e-05
293	3.976000000e-05
294	4.376000000e-05
295	4.330000000e-05
296	4.520000000e-05
297	4.524000000e-05
298	4.384000000e-05
299	3.762000000e-05
300	3.524000000e-05
301	4.026000000e-05
302	3.774000000e-05
303	4.500000000e-05
304	4.818000000e-05
305	4.696000000e-05
306	4.806000000e-05
307	5.190000000e-05
308	5.076000000e-05
309	4.920000000e-05
310	5.046000000e-05
311	4.678000000e-05
312	4.428000000e-05
313	4.126000000e-05
314	4.404000000e-05
315	4.638000000e-05
316	4.644000000e-05
317	4.582000000e-05
318	4.638000000e-05
319	5.214000000e-05
320	5.036000000e-05
321	5.418000000e-05
322	5.278000000e-05
323	5.374000000e-05
324	5.352000000e-05
325	4.810000000e-05
326	4.396000000e-05
327	4.572000000e-05
328	4.430000000e-05
329	3.852000000e-05
330	4.302000000e-05
331	4.634000000e-05
332	5.074000000e-05
333	4.626000000e-05
334	4.526000000e-05
335	5.068000000e-05
336	4.474000000e-05
337	3.734000000e-05
338	3.830000000e-05
339	3.624000000e-05
340	3.538000000e-05
341	3.176000000e-05
342	3.462000000e-05
343	3.368000000e-05
344	2.956000000e-05
345	2.858000000e-05
346	2.820000000e-05
347	2.874000000e-05
348	2.666000000e-05
349	3.362000000e-05
350	3.028000000e-05
351	2.646000000e-05
352	2.892000000e-05
353	3.086000000e-05
354	2.886000000e-05
355	2.778000000e-05
356	3.204000000e-05
357	3.084000000e-05
358	2.592000000e-05
359	3.018000000e-05
360	2.836000000e-05
361	3.098000000e-05
362	2.978000000e-05
363	2.682000000e-05
364	2.526000000e-05
365	2.494000000e-05
366	1.662000000e-05
367	1.506000000e-05
368	1.772000000e-05
369	1.560000000e-05
370	1.730000000e-05
371	1.792000000e-05
372	1.454000000e-05
373	1.602000000e-05
374	1.266000000e-05
375	1.496000000e-05
376	1.408000000e-05
377	1.210000000e-05
378	9.780000000e-06
379	1.224000000e-05
380	4.680000000e-06
381	4.320000000e-06
382	-7.200000000e-07
383	4.700000000e-06
384	3.760000000e-06
385	6.840000000e-06
386	6.680000000e-06
387	4.080000000e-06
388	4.360000000e-06
389	7.440000000e-06
390	8.820000000e-06
391	1.216000000e-05
392	1.684000000e-05
393	1.068000000e-05
394	1.408000000e-05
395	7.980000000e-06
396	1.008000000e-05
397	5.560000000e-06
398	9.240000000e-06
399	1.254000000e-05
400	1.086000000e-05
401	1.274000000e-05
402	1.118000000e-05
403	5.020000000e-06
404	1.860000000e-06
405	-3.600000000e-07
406	-1.600000000e-06
407	-1.000000000e-07
408	2.400000000e-07
409	-6.200000000e-07
410	-5.260000000e-06
411	-6.540000000e-06
412	-6.240000000e-06
413	-5.600000000e-07
414	-3.040000000e-06
415	-7.200000000e-06
416	8.000000000e-08
417	-3.020000000e-06
418	-5.160000000e-06
419	-8.760000000e-06
420	-6.760000000e-06
421	-1.376000000e-05
422	-9.940000000e-06
423	-7.560000000e-06
424	-4.340000000e-06
425	-6.880000000e-06
426	-5.580000000e-06
427	-1.240000000e-06
428	-6.400000000e-07
429	5.160000000e-06
430	7.860000000e-06
431	1.026000000e-05
432	7.340000000e-06
433	9.820000000e-06
434	1.428000000e-05
435	2.056000000e-05
436	1.718000000e-05
437	1.450000000e-05
438	1.568000000e-05
439	9.580000000e-06
440	1.178000000e-05
441	1.492000000e-05
442	1.302000000e-05
443	1.426000000e-05
444	1.280000000e-05
445	1.018000000e-05
446	7.940000000e-06
447	7.640000000e-06
448	1.148000000e-05
449	7.400000000e-06
450	7.000000000e-06
451	5.900000000e-06
452	9.380000000e-06
453	1.210000000e-05
454	1.388000000e-05
455	1.674000000e-05
456	1.670000000e-05
457	1.812000000e-05
458	1.590000000e-05
459	1.806000000e-05
460	1.632000000e-05
461	1.460000000e-05
462	1.594000000e-05
463	1.288000000e-05
464	9.360000000e-06
465	9.740000000e-06
466	1.244000000e-05
467	1.620000000e-05
468	1.670000000e-05
469	2.006000000e-05
470	2.746000000e-05
471	3.052000000e-05
472	3.280000000e-05
473	3.012000000e-05
474	2.986000000e-05
475	3.310000000e-05
476	2.946000000e-05
477	3.580000000e-05
478	3.312000000e-05
479	3.434000000e-05
480	3.398000000e-05
481	3.406000000e-05
482	3.248000000e-05
483	3.554000000e-05
484	3.658000000e-05
485	3.338000000e-05
486	3.544000000e-05
487	3.588000000e-05
488	3.708000000e-05
489	4.452000000e-05
490	4.286000000e-05
491	4.304000000e-05
492	4.404000000e-05
493	4.424000000e-05
494	4.014000000e-05
495	4.568000000e-05
496	4.422000000e-05
497	4.454000000e-05
498	4.446000000e-05
499	3.892000000e-05
500	3.304000000e-05
501	3.890000000e-05
502	3.634000000e-05
503	3.950000000e-05
504	4.318000000e-05
505	4.686000000e-05
506	4.982000000e-05
507	5.026000000e-05
508	4.776000000e-05
509	5.446000000e-05
510	5.608000000e-05
511	5.176000000e-05
512	5.296000000e-05
513	5.042000000e-05
514	4.650000000e-05
515	4.572000000e-05
516	4.892000000e-05
517	4.550000000e-05
518	4.220000000e-05
519	4.316000000e-05
520	5.070000000e-05
521	5.074000000e-05
522	5.184000000e-05
523	5.046000000e-05
524	4.760000000e-05
525	5.174000000e-05
