t	<x^2>
0	0.000000000e+00
1	1.000000000e-06
2	2.002636000e-06
3	3.003552000e-06
4	4.004572000e-06
5	4.993648000e-06
6	6.001992000e-06
7	6.989168000e-06
8	7.982156000e-06
9	8.975976000e-06
10	9.977224000e-06
11	1.098088000e-05
12	1.199110000e-05
13	1.299000800e-05
14	1.398428000e-05
15	1.497732000e-05
16	1.598107200e-05
17	1.696701600e-05
18	1.796718400e-05
19	1.896606400e-05
20	1.996002400e-05
21	2.095422400e-05
22	2.196758400e-05
23	2.296484000e-05
24	2.396968800e-05
25	2.495765600e-05
26	2.596752000e-05
27	2.697419200e-05
28	2.797558400e-05
29	2.896651200e-05
30	2.996372800e-05
31	3.094633600e-05
32	3.195255200e-05
33	3.294783200e-05
34	3.395097600e-05
35	3.498436000e-05
36	3.598660000e-05
37	3.698727200e-05
38	3.798244400e-05
39	3.899419200e-05
40	3.998819600e-05
41	4.097444800e-05
42	4.199716800e-05
43	4.299744000e-05
44	4.397844800e-05
45	4.498230400e-05
46	4.598537600e-05
47	4.696749600e-05
48	4.795133200e-05
49	4.895274400e-05
50	4.996926400e-05
51	5.097914400e-05
52	5.199398800e-05
53	5.297111200e-05
54	5.397288000e-05
55	5.497888800e-05
56	5.598547600e-05
57	5.699828800e-05
58	5.798762000e-05
59	5.900009600e-05
60	6.000601600e-05
61	6.099957600e-05
62	6.203839600e-05
63	6.303691200e-05
64	6.404820800e-05
65	6.507647200e-05
66	6.606782000e-05
67	6.703034400e-05
68	6.800966800e-05
69	6.901913600e-05
70	7.002049200e-05
71	7.100710400e-05
72	7.200630800e-05
73	7.299968800e-05
74	7.402206000e-05
75	7.500533600e-05
76	7.597263200e-05
77	7.695716800e-05
78	7.798439600e-05
79	7.900521600e-05
80	7.998969600e-05
81	8.097279200e-05
82	8.194277600e-05
83	8.293570400e-05
84	8.393516000e-05
85	8.493760000e-05
86	8.595778000e-05
87	8.697097600e-05
88	8.798561200e-05
89	8.897290400e-05
90	8.996041200e-05
91	9.091845600e-05
92	9.191830800e-05
93	9.292792000e-05
94	9.394388000e-05
95	9.493413600e-05
96	9.589071600e-05
97	9.691295200e-05
98	9.789875600e-05
99	9.889628800e-05
