N	MeMresult	Mresult	eta	seed=1270275390
100	1.501205571e+02	2.357295573e+02	7.200000000e-01
400	1.516350156e+02	1.757324177e+02	6.800000000e-01
900	1.642592656e+02	1.677947963e+02	7.133333333e-01
1600	1.808260173e+02	1.722701759e+02	6.918750000e-01
2500	1.799824505e+02	1.721343586e+02	6.988000000e-01
3600	1.787271947e+02	1.794329749e+02	6.991666667e-01
4900	1.868007374e+02	1.827057285e+02	7.053061224e-01
6400	1.873463423e+02	1.862389005e+02	7.039062500e-01
8100	1.896933586e+02	1.892574798e+02	6.964197531e-01
10000	1.928064168e+02	1.919639419e+02	6.975000000e-01
12100	1.947554470e+02	1.881892007e+02	7.000826446e-01
14400	1.949868060e+02	1.907142482e+02	7.004166667e-01
16900	1.926617815e+02	1.897439299e+02	6.985798817e-01
19600	1.921443741e+02	1.896158164e+02	6.983163265e-01
22500	1.928229011e+02	1.934003063e+02	7.005777778e-01
25600	1.960836535e+02	1.957603847e+02	7.010546875e-01
28900	1.968494785e+02	1.953099112e+02	7.024913495e-01
32400	1.971774057e+02	1.939519216e+02	7.016666667e-01
36100	1.957585955e+02	1.963254220e+02	7.036288089e-01
40000	1.969259747e+02	1.952595320e+02	7.019500000e-01
44100	1.977773980e+02	1.953792946e+02	7.013151927e-01
48400	1.971105864e+02	1.951594822e+02	7.019628099e-01
52900	1.965504366e+02	1.978998042e+02	7.022684310e-01
57600	1.972634693e+02	1.969103506e+02	7.031250000e-01
62500	1.976038641e+02	1.976914459e+02	7.025760000e-01
67600	1.988418905e+02	1.973906621e+02	7.036242604e-01
72900	1.986301310e+02	1.977424935e+02	7.032098765e-01
78400	1.989411987e+02	1.977555858e+02	7.031377551e-01
84100	1.998548462e+02	1.974741583e+02	7.023543401e-01
90000	1.994656246e+02	1.971349831e+02	7.026333333e-01
96100	2.000525455e+02	1.971805782e+02	7.029448491e-01
102400	2.002082580e+02	1.973816771e+02	7.017871094e-01
108900	1.999172243e+02	1.967935418e+02	7.017722681e-01
115600	1.995609271e+02	1.971711864e+02	7.020328720e-01
122500	1.992279910e+02	1.968711746e+02	7.023428571e-01
129600	1.992189790e+02	1.979093206e+02	7.023688272e-01
136900	1.993352701e+02	1.982787239e+02	7.028707085e-01
144400	1.990234628e+02	1.986154314e+02	7.027216066e-01
152100	1.988650359e+02	1.986299559e+02	7.031295201e-01
160000	1.983305255e+02	1.990617662e+02	7.029500000e-01
168100	1.985237292e+02	1.990122121e+02	7.030993456e-01
176400	1.989038862e+02	1.988552927e+02	7.027040816e-01
184900	1.985834630e+02	1.984585577e+02	7.026176312e-01
193600	1.986021775e+02	1.982727390e+02	7.031869835e-01
202500	1.990344734e+02	1.979597062e+02	7.030666667e-01
211600	1.988146859e+02	1.980068674e+02	7.028686200e-01
220900	1.989400078e+02	1.986064523e+02	7.026844726e-01
230400	1.990533705e+02	1.985237984e+02	7.029340278e-01
240100	1.993204789e+02	1.987032036e+02	7.028446481e-01
250000	1.998152830e+02	1.985970974e+02	7.030640000e-01
260100	1.999285071e+02	1.986523059e+02	7.033756248e-01
270400	1.996895578e+02	1.985153664e+02	7.034393491e-01
280900	1.993936643e+02	1.985326079e+02	7.034069064e-01
291600	1.990906939e+02	1.982554748e+02	7.035836763e-01
302500	1.990686479e+02	1.979445387e+02	7.034677686e-01
313600	1.991299175e+02	1.977211724e+02	7.034088010e-01
324900	1.993609196e+02	1.982028012e+02	7.036318867e-01
336400	1.994901704e+02	1.983703648e+02	7.037039239e-01
348100	1.994192122e+02	1.983577124e+02	7.039097960e-01
360000	1.992754774e+02	1.986310219e+02	7.040472222e-01
372100	1.994460713e+02	1.985810781e+02	7.041306101e-01
384400	1.996802798e+02	1.988333511e+02	7.042481790e-01
396900	1.997242549e+02	1.990520086e+02	7.042252457e-01
409600	1.996598942e+02	1.991332854e+02	7.043676758e-01
422500	1.998350388e+02	1.993626653e+02	7.043337278e-01
435600	1.996229482e+02	1.995220109e+02	7.044123049e-01
448900	1.996190371e+02	1.996818294e+02	7.040588104e-01
462400	1.996926366e+02	1.997434212e+02	7.041284602e-01
476100	1.995529804e+02	1.999992465e+02	7.040096618e-01
490000	1.995491346e+02	1.999797731e+02	7.038979592e-01
504100	1.996049932e+02	2.001069334e+02	7.040190438e-01
518400	1.996713202e+02	2.001704309e+02	7.039583333e-01
532900	1.997339308e+02	2.002343442e+02	7.040026271e-01
547600	1.997695238e+02	2.002650011e+02	7.038897005e-01
562500	1.998199007e+02	2.002089399e+02	7.040373333e-01
577600	1.997815266e+02	2.002278384e+02	7.040131579e-01
592900	1.997631422e+02	2.003586153e+02	7.039635689e-01
608400	1.996447878e+02	2.002415284e+02	7.038116371e-01
624100	1.996299932e+02	2.004212872e+02	7.038118891e-01
640000	1.998556005e+02	2.006528197e+02	7.040062500e-01
656100	1.998774634e+02	2.004985690e+02	7.037372352e-01
672400	1.999197483e+02	2.003942043e+02	7.036615110e-01
688900	1.999002717e+02	2.004150262e+02	7.037407461e-01
705600	1.999550125e+02	2.004891872e+02	7.036748866e-01
722500	2.001194975e+02	2.004917429e+02	7.036844291e-01
739600	2.000756548e+02	2.006475612e+02	7.036046512e-01
756900	2.001769490e+02	2.006181863e+02	7.036464526e-01
774400	2.002291481e+02	2.006827604e+02	7.036686467e-01
792100	2.002893279e+02	2.008702849e+02	7.038341119e-01
810000	2.003203666e+02	2.006019491e+02	7.038777778e-01
828100	2.001844172e+02	2.008542980e+02	7.038509842e-01
846400	2.002969490e+02	2.008644586e+02	7.038976843e-01
