E=4.936000000e+00
x	y
-1.000000000e+00	0.000000000e+00
-9.998000000e-01	6.284328673e-04
-9.996000000e-01	1.256865486e-03
-9.994000000e-01	1.885297609e-03
-9.992000000e-01	2.513728988e-03
-9.990000000e-01	3.142159373e-03
-9.988000000e-01	3.770588518e-03
-9.986000000e-01	4.399016174e-03
-9.984000000e-01	5.027442093e-03
-9.982000000e-01	5.655866027e-03
-9.980000000e-01	6.284287727e-03
-9.978000000e-01	6.912706946e-03
-9.976000000e-01	7.541123435e-03
-9.974000000e-01	8.169536946e-03
-9.972000000e-01	8.797947231e-03
-9.970000000e-01	9.426354043e-03
-9.968000000e-01	1.005475713e-02
-9.966000000e-01	1.068315625e-02
-9.964000000e-01	1.131155115e-02
-9.962000000e-01	1.193994158e-02
-9.960000000e-01	1.256832730e-02
-9.958000000e-01	1.319670806e-02
-9.956000000e-01	1.382508360e-02
-9.954000000e-01	1.445345369e-02
-9.952000000e-01	1.508181806e-02
-9.950000000e-01	1.571017649e-02
-9.948000000e-01	1.633852870e-02
-9.946000000e-01	1.696687447e-02
-9.944000000e-01	1.759521354e-02
-9.942000000e-01	1.822354566e-02
-9.940000000e-01	1.885187058e-02
-9.938000000e-01	1.948018806e-02
-9.936000000e-01	2.010849784e-02
-9.934000000e-01	2.073679969e-02
-9.932000000e-01	2.136509335e-02
-9.930000000e-01	2.199337857e-02
-9.928000000e-01	2.262165510e-02
-9.926000000e-01	2.324992271e-02
-9.924000000e-01	2.387818113e-02
-9.922000000e-01	2.450643012e-02
-9.920000000e-01	2.513466944e-02
-9.918000000e-01	2.576289883e-02
-9.916000000e-01	2.639111804e-02
-9.914000000e-01	2.701932684e-02
-9.912000000e-01	2.764752497e-02
-9.910000000e-01	2.827571218e-02
-9.908000000e-01	2.890388822e-02
-9.906000000e-01	2.953205285e-02
-9.904000000e-01	3.016020582e-02
-9.902000000e-01	3.078834688e-02
-9.900000000e-01	3.141647578e-02
-9.898000000e-01	3.204459227e-02
-9.896000000e-01	3.267269612e-02
-9.894000000e-01	3.330078706e-02
-9.892000000e-01	3.392886485e-02
-9.890000000e-01	3.455692924e-02
-9.888000000e-01	3.518497998e-02
-9.886000000e-01	3.581301684e-02
-9.884000000e-01	3.644103955e-02
-9.882000000e-01	3.706904787e-02
-9.880000000e-01	3.769704155e-02
-9.878000000e-01	3.832502035e-02
-9.876000000e-01	3.895298401e-02
-9.874000000e-01	3.958093229e-02
-9.872000000e-01	4.020886495e-02
-9.870000000e-01	4.083678172e-02
-9.868000000e-01	4.146468237e-02
-9.866000000e-01	4.209256664e-02
-9.864000000e-01	4.272043430e-02
-9.862000000e-01	4.334828508e-02
-9.860000000e-01	4.397611875e-02
-9.858000000e-01	4.460393505e-02
-9.856000000e-01	4.523173374e-02
-9.854000000e-01	4.585951457e-02
-9.852000000e-01	4.648727728e-02
-9.850000000e-01	4.711502165e-02
-9.848000000e-01	4.774274740e-02
-9.846000000e-01	4.837045431e-02
-9.844000000e-01	4.899814211e-02
-9.842000000e-01	4.962581056e-02
-9.840000000e-01	5.025345942e-02
-9.838000000e-01	5.088108844e-02
-9.836000000e-01	5.150869736e-02
-9.834000000e-01	5.213628594e-02
-9.832000000e-01	5.276385394e-02
-9.830000000e-01	5.339140110e-02
-9.828000000e-01	5.401892718e-02
-9.826000000e-01	5.464643192e-02
-9.824000000e-01	5.527391509e-02
-9.822000000e-01	5.590137643e-02
-9.820000000e-01	5.652881569e-02
-9.818000000e-01	5.715623264e-02
-9.816000000e-01	5.778362701e-02
-9.814000000e-01	5.841099857e-02
-9.812000000e-01	5.903834706e-02
-9.810000000e-01	5.966567224e-02
-9.808000000e-01	6.029297386e-02
-9.806000000e-01	6.092025167e-02
-9.804000000e-01	6.154750542e-02
-9.802000000e-01	6.217473487e-02
-9.800000000e-01	6.280193976e-02
-9.798000000e-01	6.342911986e-02
-9.796000000e-01	6.405627491e-02
-9.794000000e-01	6.468340467e-02
-9.792000000e-01	6.531050888e-02
-9.790000000e-01	6.593758731e-02
-9.788000000e-01	6.656463970e-02
-9.786000000e-01	6.719166580e-02
-9.784000000e-01	6.781866537e-02
-9.782000000e-01	6.844563816e-02
-9.780000000e-01	6.907258392e-02
-9.778000000e-01	6.969950240e-02
-9.776000000e-01	7.032639337e-02
-9.774000000e-01	7.095325656e-02
-9.772000000e-01	7.158009173e-02
-9.770000000e-01	7.220689864e-02
-9.768000000e-01	7.283367704e-02
-9.766000000e-01	7.346042668e-02
-9.764000000e-01	7.408714730e-02
-9.762000000e-01	7.471383867e-02
-9.760000000e-01	7.534050054e-02
-9.758000000e-01	7.596713266e-02
-9.756000000e-01	7.659373478e-02
-9.754000000e-01	7.722030666e-02
-9.752000000e-01	7.784684804e-02
-9.750000000e-01	7.847335868e-02
-9.748000000e-01	7.909983834e-02
-9.746000000e-01	7.972628676e-02
-9.744000000e-01	8.035270369e-02
-9.742000000e-01	8.097908890e-02
-9.740000000e-01	8.160544213e-02
-9.738000000e-01	8.223176314e-02
-9.736000000e-01	8.285805167e-02
-9.734000000e-01	8.348430749e-02
-9.732000000e-01	8.411053034e-02
-9.730000000e-01	8.473671998e-02
-9.728000000e-01	8.536287615e-02
-9.726000000e-01	8.598899862e-02
-9.724000000e-01	8.661508713e-02
-9.722000000e-01	8.724114144e-02
-9.720000000e-01	8.786716130e-02
-9.718000000e-01	8.849314646e-02
-9.716000000e-01	8.911909668e-02
-9.714000000e-01	8.974501170e-02
-9.712000000e-01	9.037089129e-02
-9.710000000e-01	9.099673520e-02
-9.708000000e-01	9.162254317e-02
-9.706000000e-01	9.224831496e-02
-9.704000000e-01	9.287405032e-02
-9.702000000e-01	9.349974901e-02
-9.700000000e-01	9.412541077e-02
-9.698000000e-01	9.475103537e-02
-9.696000000e-01	9.537662256e-02
-9.694000000e-01	9.600217208e-02
-9.692000000e-01	9.662768369e-02
-9.690000000e-01	9.725315715e-02
-9.688000000e-01	9.787859220e-02
-9.686000000e-01	9.850398860e-02
-9.684000000e-01	9.912934611e-02
-9.682000000e-01	9.975466447e-02
-9.680000000e-01	1.003799434e-01
-9.678000000e-01	1.010051828e-01
-9.676000000e-01	1.016303822e-01
-9.674000000e-01	1.022555415e-01
-9.672000000e-01	1.028806605e-01
-9.670000000e-01	1.035057388e-01
-9.668000000e-01	1.041307762e-01
-9.666000000e-01	1.047557725e-01
-9.664000000e-01	1.053807275e-01
-9.662000000e-01	1.060056408e-01
-9.660000000e-01	1.066305123e-01
-9.658000000e-01	1.072553417e-01
-9.656000000e-01	1.078801287e-01
-9.654000000e-01	1.085048731e-01
-9.652000000e-01	1.091295747e-01
-9.650000000e-01	1.097542332e-01
-9.648000000e-01	1.103788483e-01
-9.646000000e-01	1.110034199e-01
-9.644000000e-01	1.116279476e-01
-9.642000000e-01	1.122524313e-01
-9.640000000e-01	1.128768706e-01
-9.638000000e-01	1.135012653e-01
-9.636000000e-01	1.141256152e-01
-9.634000000e-01	1.147499201e-01
-9.632000000e-01	1.153741797e-01
-9.630000000e-01	1.159983936e-01
-9.628000000e-01	1.166225618e-01
-9.626000000e-01	1.172466840e-01
-9.624000000e-01	1.178707598e-01
-9.622000000e-01	1.184947891e-01
-9.620000000e-01	1.191187716e-01
-9.618000000e-01	1.197427070e-01
-9.616000000e-01	1.203665952e-01
-9.614000000e-01	1.209904359e-01
-9.612000000e-01	1.216142287e-01
-9.610000000e-01	1.222379736e-01
-9.608000000e-01	1.228616701e-01
-9.606000000e-01	1.234853182e-01
-9.604000000e-01	1.241089175e-01
-9.602000000e-01	1.247324678e-01
-9.600000000e-01	1.253559688e-01
-9.598000000e-01	1.259794204e-01
-9.596000000e-01	1.266028221e-01
-9.594000000e-01	1.272261739e-01
-9.592000000e-01	1.278494755e-01
-9.590000000e-01	1.284727266e-01
-9.588000000e-01	1.290959269e-01
-9.586000000e-01	1.297190763e-01
-9.584000000e-01	1.303421744e-01
-9.582000000e-01	1.309652211e-01
-9.580000000e-01	1.315882160e-01
-9.578000000e-01	1.322111590e-01
-9.576000000e-01	1.328340498e-01
-9.574000000e-01	1.334568881e-01
-9.572000000e-01	1.340796738e-01
-9.570000000e-01	1.347024065e-01
-9.568000000e-01	1.353250860e-01
-9.566000000e-01	1.359477120e-01
-9.564000000e-01	1.365702844e-01
-9.562000000e-01	1.371928028e-01
-9.560000000e-01	1.378152671e-01
-9.558000000e-01	1.384376770e-01
-9.556000000e-01	1.390600321e-01
-9.554000000e-01	1.396823324e-01
-9.552000000e-01	1.403045775e-01
-9.550000000e-01	1.409267672e-01
-9.548000000e-01	1.415489013e-01
-9.546000000e-01	1.421709795e-01
-9.544000000e-01	1.427930015e-01
-9.542000000e-01	1.434149671e-01
-9.540000000e-01	1.440368761e-01
-9.538000000e-01	1.446587283e-01
-9.536000000e-01	1.452805233e-01
-9.534000000e-01	1.459022609e-01
-9.532000000e-01	1.465239410e-01
-9.530000000e-01	1.471455631e-01
-9.528000000e-01	1.477671272e-01
-9.526000000e-01	1.483886329e-01
-9.524000000e-01	1.490100800e-01
-9.522000000e-01	1.496314683e-01
-9.520000000e-01	1.502527975e-01
-9.518000000e-01	1.508740673e-01
-9.516000000e-01	1.514952776e-01
-9.514000000e-01	1.521164281e-01
-9.512000000e-01	1.527375185e-01
-9.510000000e-01	1.533585485e-01
-9.508000000e-01	1.539795181e-01
-9.506000000e-01	1.546004268e-01
-9.504000000e-01	1.552212744e-01
-9.502000000e-01	1.558420608e-01
-9.500000000e-01	1.564627856e-01
-9.498000000e-01	1.570834487e-01
-9.496000000e-01	1.577040497e-01
-9.494000000e-01	1.583245885e-01
-9.492000000e-01	1.589450647e-01
-9.490000000e-01	1.595654781e-01
-9.488000000e-01	1.601858286e-01
-9.486000000e-01	1.608061158e-01
-9.484000000e-01	1.614263395e-01
-9.482000000e-01	1.620464995e-01
-9.480000000e-01	1.626665954e-01
-9.478000000e-01	1.632866272e-01
-9.476000000e-01	1.639065944e-01
-9.474000000e-01	1.645264969e-01
-9.472000000e-01	1.651463345e-01
-9.470000000e-01	1.657661069e-01
-9.468000000e-01	1.663858138e-01
-9.466000000e-01	1.670054549e-01
-9.464000000e-01	1.676250302e-01
-9.462000000e-01	1.682445392e-01
-9.460000000e-01	1.688639819e-01
-9.458000000e-01	1.694833578e-01
-9.456000000e-01	1.701026668e-01
-9.454000000e-01	1.707219086e-01
-9.452000000e-01	1.713410831e-01
-9.450000000e-01	1.719601898e-01
-9.448000000e-01	1.725792287e-01
-9.446000000e-01	1.731981994e-01
-9.444000000e-01	1.738171017e-01
-9.442000000e-01	1.744359354e-01
-9.440000000e-01	1.750547002e-01
-9.438000000e-01	1.756733959e-01
-9.436000000e-01	1.762920222e-01
-9.434000000e-01	1.769105789e-01
-9.432000000e-01	1.775290657e-01
-9.430000000e-01	1.781474824e-01
-9.428000000e-01	1.787658288e-01
-9.426000000e-01	1.793841046e-01
-9.424000000e-01	1.800023096e-01
-9.422000000e-01	1.806204435e-01
-9.420000000e-01	1.812385060e-01
-9.418000000e-01	1.818564970e-01
-9.416000000e-01	1.824744162e-01
-9.414000000e-01	1.830922633e-01
-9.412000000e-01	1.837100381e-01
-9.410000000e-01	1.843277404e-01
