E=1.234000000e+00
x	y
-1.000000000e+00	0.000000000e+00
-9.998000000e-01	3.142164492e-04
-9.996000000e-01	6.284328673e-04
-9.994000000e-01	9.426492234e-04
-9.992000000e-01	1.256865486e-03
-9.990000000e-01	1.571081625e-03
-9.988000000e-01	1.885297609e-03
-9.986000000e-01	2.199513407e-03
-9.984000000e-01	2.513728988e-03
-9.982000000e-01	2.827944320e-03
-9.980000000e-01	3.142159373e-03
-9.978000000e-01	3.456374116e-03
-9.976000000e-01	3.770588518e-03
-9.974000000e-01	4.084802548e-03
-9.972000000e-01	4.399016174e-03
-9.970000000e-01	4.713229367e-03
-9.968000000e-01	5.027442093e-03
-9.966000000e-01	5.341654324e-03
-9.964000000e-01	5.655866027e-03
-9.962000000e-01	5.970077172e-03
-9.960000000e-01	6.284287727e-03
-9.958000000e-01	6.598497663e-03
-9.956000000e-01	6.912706946e-03
-9.954000000e-01	7.226915548e-03
-9.952000000e-01	7.541123435e-03
-9.950000000e-01	7.855330579e-03
-9.948000000e-01	8.169536947e-03
-9.946000000e-01	8.483742508e-03
-9.944000000e-01	8.797947232e-03
-9.942000000e-01	9.112151087e-03
-9.940000000e-01	9.426354043e-03
-9.938000000e-01	9.740556068e-03
-9.936000000e-01	1.005475713e-02
-9.934000000e-01	1.036895720e-02
-9.932000000e-01	1.068315625e-02
-9.930000000e-01	1.099735424e-02
-9.928000000e-01	1.131155115e-02
-9.926000000e-01	1.162574694e-02
-9.924000000e-01	1.193994158e-02
-9.922000000e-01	1.225413505e-02
-9.920000000e-01	1.256832730e-02
-9.918000000e-01	1.288251832e-02
-9.916000000e-01	1.319670806e-02
-9.914000000e-01	1.351089650e-02
-9.912000000e-01	1.382508360e-02
-9.910000000e-01	1.413926934e-02
-9.908000000e-01	1.445345369e-02
-9.906000000e-01	1.476763660e-02
-9.904000000e-01	1.508181806e-02
-9.902000000e-01	1.539599803e-02
-9.900000000e-01	1.571017649e-02
-9.898000000e-01	1.602435339e-02
-9.896000000e-01	1.633852870e-02
-9.894000000e-01	1.665270241e-02
-9.892000000e-01	1.696687447e-02
-9.890000000e-01	1.728104486e-02
-9.888000000e-01	1.759521354e-02
-9.886000000e-01	1.790938048e-02
-9.884000000e-01	1.822354566e-02
-9.882000000e-01	1.853770903e-02
-9.880000000e-01	1.885187058e-02
-9.878000000e-01	1.916603026e-02
-9.876000000e-01	1.948018806e-02
-9.874000000e-01	1.979434393e-02
-9.872000000e-01	2.010849784e-02
-9.870000000e-01	2.042264978e-02
-9.868000000e-01	2.073679969e-02
-9.866000000e-01	2.105094756e-02
-9.864000000e-01	2.136509335e-02
-9.862000000e-01	2.167923703e-02
-9.860000000e-01	2.199337857e-02
-9.858000000e-01	2.230751794e-02
-9.856000000e-01	2.262165510e-02
-9.854000000e-01	2.293579004e-02
-9.852000000e-01	2.324992271e-02
-9.850000000e-01	2.356405308e-02
-9.848000000e-01	2.387818113e-02
-9.846000000e-01	2.419230682e-02
-9.844000000e-01	2.450643012e-02
-9.842000000e-01	2.482055100e-02
-9.840000000e-01	2.513466944e-02
-9.838000000e-01	2.544878539e-02
-9.836000000e-01	2.576289883e-02
-9.834000000e-01	2.607700972e-02
-9.832000000e-01	2.639111805e-02
-9.830000000e-01	2.670522376e-02
-9.828000000e-01	2.701932684e-02
-9.826000000e-01	2.733342725e-02
-9.824000000e-01	2.764752497e-02
-9.822000000e-01	2.796161995e-02
-9.820000000e-01	2.827571218e-02
-9.818000000e-01	2.858980161e-02
-9.816000000e-01	2.890388822e-02
-9.814000000e-01	2.921797198e-02
-9.812000000e-01	2.953205285e-02
-9.810000000e-01	2.984613081e-02
-9.808000000e-01	3.016020582e-02
-9.806000000e-01	3.047427785e-02
-9.804000000e-01	3.078834688e-02
-9.802000000e-01	3.110241286e-02
-9.800000000e-01	3.141647578e-02
-9.798000000e-01	3.173053559e-02
-9.796000000e-01	3.204459228e-02
-9.794000000e-01	3.235864579e-02
-9.792000000e-01	3.267269612e-02
-9.790000000e-01	3.298674322e-02
-9.788000000e-01	3.330078706e-02
-9.786000000e-01	3.361482761e-02
-9.784000000e-01	3.392886485e-02
-9.782000000e-01	3.424289873e-02
-9.780000000e-01	3.455692924e-02
-9.778000000e-01	3.487095633e-02
-9.776000000e-01	3.518497999e-02
-9.774000000e-01	3.549900016e-02
-9.772000000e-01	3.581301684e-02
-9.770000000e-01	3.612702998e-02
-9.768000000e-01	3.644103955e-02
-9.766000000e-01	3.675504552e-02
-9.764000000e-01	3.706904787e-02
-9.762000000e-01	3.738304656e-02
-9.760000000e-01	3.769704155e-02
-9.758000000e-01	3.801103283e-02
-9.756000000e-01	3.832502035e-02
-9.754000000e-01	3.863900409e-02
-9.752000000e-01	3.895298401e-02
-9.750000000e-01	3.926696009e-02
-9.748000000e-01	3.958093230e-02
-9.746000000e-01	3.989490059e-02
-9.744000000e-01	4.020886495e-02
-9.742000000e-01	4.052282534e-02
-9.740000000e-01	4.083678172e-02
-9.738000000e-01	4.115073408e-02
-9.736000000e-01	4.146468237e-02
-9.734000000e-01	4.177862657e-02
-9.732000000e-01	4.209256665e-02
-9.730000000e-01	4.240650257e-02
-9.728000000e-01	4.272043430e-02
-9.726000000e-01	4.303436182e-02
-9.724000000e-01	4.334828508e-02
-9.722000000e-01	4.366220407e-02
-9.720000000e-01	4.397611875e-02
-9.718000000e-01	4.429002909e-02
-9.716000000e-01	4.460393505e-02
-9.714000000e-01	4.491783661e-02
-9.712000000e-01	4.523173374e-02
-9.710000000e-01	4.554562640e-02
-9.708000000e-01	4.585951457e-02
-9.706000000e-01	4.617339821e-02
-9.704000000e-01	4.648727729e-02
-9.702000000e-01	4.680115178e-02
-9.700000000e-01	4.711502165e-02
-9.698000000e-01	4.742888687e-02
-9.696000000e-01	4.774274740e-02
-9.694000000e-01	4.805660323e-02
-9.692000000e-01	4.837045431e-02
-9.690000000e-01	4.868430061e-02
-9.688000000e-01	4.899814211e-02
-9.686000000e-01	4.931197877e-02
-9.684000000e-01	4.962581057e-02
-9.682000000e-01	4.993963746e-02
-9.680000000e-01	5.025345943e-02
-9.678000000e-01	5.056727643e-02
-9.676000000e-01	5.088108844e-02
-9.674000000e-01	5.119489543e-02
-9.672000000e-01	5.150869736e-02
-9.670000000e-01	5.182249421e-02
-9.668000000e-01	5.213628595e-02
-9.666000000e-01	5.245007253e-02
-9.664000000e-01	5.276385394e-02
-9.662000000e-01	5.307763014e-02
-9.660000000e-01	5.339140110e-02
-9.658000000e-01	5.370516679e-02
-9.656000000e-01	5.401892718e-02
-9.654000000e-01	5.433268223e-02
-9.652000000e-01	5.464643192e-02
-9.650000000e-01	5.496017622e-02
-9.648000000e-01	5.527391509e-02
-9.646000000e-01	5.558764850e-02
-9.644000000e-01	5.590137643e-02
-9.642000000e-01	5.621509884e-02
-9.640000000e-01	5.652881570e-02
-9.638000000e-01	5.684252698e-02
-9.636000000e-01	5.715623264e-02
-9.634000000e-01	5.746993267e-02
-9.632000000e-01	5.778362702e-02
-9.630000000e-01	5.809731566e-02
-9.628000000e-01	5.841099857e-02
-9.626000000e-01	5.872467572e-02
-9.624000000e-01	5.903834706e-02
-9.622000000e-01	5.935201258e-02
-9.620000000e-01	5.966567224e-02
-9.618000000e-01	5.997932601e-02
-9.616000000e-01	6.029297386e-02
-9.614000000e-01	6.060661576e-02
-9.612000000e-01	6.092025167e-02
-9.610000000e-01	6.123388157e-02
-9.608000000e-01	6.154750542e-02
-9.606000000e-01	6.186112320e-02
-9.604000000e-01	6.217473487e-02
-9.602000000e-01	6.248834040e-02
-9.600000000e-01	6.280193977e-02
-9.598000000e-01	6.311553293e-02
-9.596000000e-01	6.342911986e-02
-9.594000000e-01	6.374270054e-02
-9.592000000e-01	6.405627492e-02
-9.590000000e-01	6.436984297e-02
-9.588000000e-01	6.468340467e-02
-9.586000000e-01	6.499695999e-02
-9.584000000e-01	6.531050889e-02
-9.582000000e-01	6.562405134e-02
-9.580000000e-01	6.593758731e-02
-9.578000000e-01	6.625111678e-02
-9.576000000e-01	6.656463970e-02
-9.574000000e-01	6.687815605e-02
-9.572000000e-01	6.719166580e-02
-9.570000000e-01	6.750516892e-02
-9.568000000e-01	6.781866537e-02
-9.566000000e-01	6.813215513e-02
-9.564000000e-01	6.844563816e-02
-9.562000000e-01	6.875911443e-02
-9.560000000e-01	6.907258392e-02
-9.558000000e-01	6.938604659e-02
-9.556000000e-01	6.969950241e-02
-9.554000000e-01	7.001295135e-02
-9.552000000e-01	7.032639337e-02
-9.550000000e-01	7.063982845e-02
-9.548000000e-01	7.095325656e-02
-9.546000000e-01	7.126667767e-02
-9.544000000e-01	7.158009174e-02
-9.542000000e-01	7.189349874e-02
-9.540000000e-01	7.220689865e-02
-9.538000000e-01	7.252029142e-02
-9.536000000e-01	7.283367704e-02
-9.534000000e-01	7.314705547e-02
-9.532000000e-01	7.346042668e-02
-9.530000000e-01	7.377379063e-02
-9.528000000e-01	7.408714731e-02
-9.526000000e-01	7.440049666e-02
-9.524000000e-01	7.471383868e-02
-9.522000000e-01	7.502717332e-02
-9.520000000e-01	7.534050055e-02
-9.518000000e-01	7.565382034e-02
-9.516000000e-01	7.596713267e-02
-9.514000000e-01	7.628043749e-02
-9.512000000e-01	7.659373479e-02
-9.510000000e-01	7.690702452e-02
-9.508000000e-01	7.722030666e-02
-9.506000000e-01	7.753358118e-02
-9.504000000e-01	7.784684804e-02
-9.502000000e-01	7.816010722e-02
-9.500000000e-01	7.847335869e-02
-9.498000000e-01	7.878660240e-02
-9.496000000e-01	7.909983834e-02
-9.494000000e-01	7.941306647e-02
-9.492000000e-01	7.972628676e-02
-9.490000000e-01	8.003949918e-02
-9.488000000e-01	8.035270370e-02
-9.486000000e-01	8.066590028e-02
-9.484000000e-01	8.097908891e-02
-9.482000000e-01	8.129226953e-02
-9.480000000e-01	8.160544214e-02
-9.478000000e-01	8.191860668e-02
-9.476000000e-01	8.223176314e-02
-9.474000000e-01	8.254491149e-02
