E=1.973800000e+01
x	y
-1.000000000e+00	0.000000000e+00
-9.998000000e-01	1.256579014e-03
-9.996000000e-01	2.513156044e-03
-9.994000000e-01	3.769729106e-03
-9.992000000e-01	5.026296215e-03
-9.990000000e-01	6.282855388e-03
-9.988000000e-01	7.539404639e-03
-9.986000000e-01	8.795941986e-03
-9.984000000e-01	1.005246544e-02
-9.982000000e-01	1.130897303e-02
-9.980000000e-01	1.256546275e-02
-9.978000000e-01	1.382193264e-02
-9.976000000e-01	1.507838070e-02
-9.974000000e-01	1.633480495e-02
-9.972000000e-01	1.759120341e-02
-9.970000000e-01	1.884757409e-02
-9.968000000e-01	2.010391501e-02
-9.966000000e-01	2.136022418e-02
-9.964000000e-01	2.261649963e-02
-9.962000000e-01	2.387273936e-02
-9.960000000e-01	2.512894140e-02
-9.958000000e-01	2.638510375e-02
-9.956000000e-01	2.764122445e-02
-9.954000000e-01	2.889730150e-02
-9.952000000e-01	3.015333291e-02
-9.950000000e-01	3.140931672e-02
-9.948000000e-01	3.266525093e-02
-9.946000000e-01	3.392113356e-02
-9.944000000e-01	3.517696262e-02
-9.942000000e-01	3.643273614e-02
-9.940000000e-01	3.768845213e-02
-9.938000000e-01	3.894410861e-02
-9.936000000e-01	4.019970360e-02
-9.934000000e-01	4.145523510e-02
-9.932000000e-01	4.271070115e-02
-9.930000000e-01	4.396609976e-02
-9.928000000e-01	4.522142894e-02
-9.926000000e-01	4.647668672e-02
-9.924000000e-01	4.773187111e-02
-9.922000000e-01	4.898698012e-02
-9.920000000e-01	5.024201179e-02
-9.918000000e-01	5.149696412e-02
-9.916000000e-01	5.275183513e-02
-9.914000000e-01	5.400662285e-02
-9.912000000e-01	5.526132529e-02
-9.910000000e-01	5.651594047e-02
-9.908000000e-01	5.777046641e-02
-9.906000000e-01	5.902490112e-02
-9.904000000e-01	6.027924264e-02
-9.902000000e-01	6.153348897e-02
-9.900000000e-01	6.278763813e-02
-9.898000000e-01	6.404168816e-02
-9.896000000e-01	6.529563705e-02
-9.894000000e-01	6.654948285e-02
-9.892000000e-01	6.780322356e-02
-9.890000000e-01	6.905685720e-02
-9.888000000e-01	7.031038180e-02
-9.886000000e-01	7.156379538e-02
-9.884000000e-01	7.281709596e-02
-9.882000000e-01	7.407028156e-02
-9.880000000e-01	7.532335019e-02
-9.878000000e-01	7.657629989e-02
-9.876000000e-01	7.782912867e-02
-9.874000000e-01	7.908183455e-02
-9.872000000e-01	8.033441556e-02
-9.870000000e-01	8.158686972e-02
-9.868000000e-01	8.283919506e-02
-9.866000000e-01	8.409138958e-02
-9.864000000e-01	8.534345132e-02
-9.862000000e-01	8.659537830e-02
-9.860000000e-01	8.784716855e-02
-9.858000000e-01	8.909882007e-02
-9.856000000e-01	9.035033091e-02
-9.854000000e-01	9.160169908e-02
-9.852000000e-01	9.285292261e-02
-9.850000000e-01	9.410399952e-02
-9.848000000e-01	9.535492784e-02
-9.846000000e-01	9.660570559e-02
-9.844000000e-01	9.785633079e-02
-9.842000000e-01	9.910680147e-02
-9.840000000e-01	1.003571157e-01
-9.838000000e-01	1.016072714e-01
-9.836000000e-01	1.028572667e-01
-9.834000000e-01	1.041070995e-01
-9.832000000e-01	1.053567680e-01
-9.830000000e-01	1.066062701e-01
-9.828000000e-01	1.078556039e-01
-9.826000000e-01	1.091047674e-01
-9.824000000e-01	1.103537586e-01
-9.822000000e-01	1.116025755e-01
-9.820000000e-01	1.128512162e-01
-9.818000000e-01	1.140996787e-01
-9.816000000e-01	1.153479611e-01
-9.814000000e-01	1.165960613e-01
-9.812000000e-01	1.178439774e-01
-9.810000000e-01	1.190917074e-01
-9.808000000e-01	1.203392493e-01
-9.806000000e-01	1.215866013e-01
-9.804000000e-01	1.228337613e-01
-9.802000000e-01	1.240807272e-01
-9.800000000e-01	1.253274973e-01
-9.798000000e-01	1.265740695e-01
-9.796000000e-01	1.278204418e-01
-9.794000000e-01	1.290666123e-01
-9.792000000e-01	1.303125789e-01
-9.790000000e-01	1.315583398e-01
-9.788000000e-01	1.328038930e-01
-9.786000000e-01	1.340492365e-01
-9.784000000e-01	1.352943683e-01
-9.782000000e-01	1.365392864e-01
-9.780000000e-01	1.377839890e-01
-9.778000000e-01	1.390284740e-01
-9.776000000e-01	1.402727394e-01
-9.774000000e-01	1.415167834e-01
-9.772000000e-01	1.427606039e-01
-9.770000000e-01	1.440041990e-01
-9.768000000e-01	1.452475667e-01
-9.766000000e-01	1.464907050e-01
-9.764000000e-01	1.477336120e-01
-9.762000000e-01	1.489762858e-01
-9.760000000e-01	1.502187243e-01
-9.758000000e-01	1.514609256e-01
-9.756000000e-01	1.527028877e-01
-9.754000000e-01	1.539446087e-01
-9.752000000e-01	1.551860867e-01
-9.750000000e-01	1.564273196e-01
-9.748000000e-01	1.576683055e-01
-9.746000000e-01	1.589090424e-01
-9.744000000e-01	1.601495284e-01
-9.742000000e-01	1.613897615e-01
-9.740000000e-01	1.626297398e-01
-9.738000000e-01	1.638694612e-01
-9.736000000e-01	1.651089239e-01
-9.734000000e-01	1.663481260e-01
-9.732000000e-01	1.675870653e-01
-9.730000000e-01	1.688257400e-01
-9.728000000e-01	1.700641481e-01
-9.726000000e-01	1.713022877e-01
-9.724000000e-01	1.725401568e-01
-9.722000000e-01	1.737777534e-01
-9.720000000e-01	1.750150757e-01
-9.718000000e-01	1.762521216e-01
-9.716000000e-01	1.774888892e-01
-9.714000000e-01	1.787253765e-01
-9.712000000e-01	1.799615816e-01
-9.710000000e-01	1.811975025e-01
-9.708000000e-01	1.824331373e-01
-9.706000000e-01	1.836684841e-01
-9.704000000e-01	1.849035408e-01
-9.702000000e-01	1.861383056e-01
-9.700000000e-01	1.873727764e-01
-9.698000000e-01	1.886069514e-01
-9.696000000e-01	1.898408285e-01
-9.694000000e-01	1.910744059e-01
-9.692000000e-01	1.923076816e-01
-9.690000000e-01	1.935406536e-01
-9.688000000e-01	1.947733200e-01
-9.686000000e-01	1.960056788e-01
-9.684000000e-01	1.972377282e-01
-9.682000000e-01	1.984694661e-01
-9.680000000e-01	1.997008906e-01
-9.678000000e-01	2.009319998e-01
-9.676000000e-01	2.021627917e-01
-9.674000000e-01	2.033932643e-01
-9.672000000e-01	2.046234158e-01
