E=1.110400000e+01
x	y
-1.000000000e+00	0.000000000e+00
-9.998000000e-01	9.425219044e-04
-9.996000000e-01	1.885042971e-03
-9.994000000e-01	2.827562364e-03
-9.992000000e-01	3.770079245e-03
-9.990000000e-01	4.712592777e-03
-9.988000000e-01	5.655102122e-03
-9.986000000e-01	6.597606444e-03
-9.984000000e-01	7.540104905e-03
-9.982000000e-01	8.482596668e-03
-9.980000000e-01	9.425080896e-03
-9.978000000e-01	1.036755675e-02
-9.976000000e-01	1.131002340e-02
-9.974000000e-01	1.225248000e-02
-9.972000000e-01	1.319492571e-02
-9.970000000e-01	1.413735970e-02
-9.968000000e-01	1.507978114e-02
-9.966000000e-01	1.602218918e-02
-9.964000000e-01	1.696458298e-02
-9.962000000e-01	1.790696172e-02
-9.960000000e-01	1.884932455e-02
-9.958000000e-01	1.979167063e-02
-9.956000000e-01	2.073399914e-02
-9.954000000e-01	2.167630922e-02
-9.952000000e-01	2.261860005e-02
-9.950000000e-01	2.356087079e-02
-9.948000000e-01	2.450312060e-02
-9.946000000e-01	2.544534864e-02
-9.944000000e-01	2.638755408e-02
-9.942000000e-01	2.732973607e-02
-9.940000000e-01	2.827189379e-02
-9.938000000e-01	2.921402640e-02
-9.936000000e-01	3.015613305e-02
-9.934000000e-01	3.109821292e-02
-9.932000000e-01	3.204026516e-02
-9.930000000e-01	3.298228893e-02
-9.928000000e-01	3.392428341e-02
-9.926000000e-01	3.486624776e-02
-9.924000000e-01	3.580818113e-02
-9.922000000e-01	3.675008269e-02
-9.920000000e-01	3.769195160e-02
-9.918000000e-01	3.863378704e-02
-9.916000000e-01	3.957558815e-02
-9.914000000e-01	4.051735411e-02
-9.912000000e-01	4.145908408e-02
-9.910000000e-01	4.240077721e-02
-9.908000000e-01	4.334243269e-02
-9.906000000e-01	4.428404966e-02
-9.904000000e-01	4.522562729e-02
-9.902000000e-01	4.616716474e-02
-9.900000000e-01	4.710866119e-02
-9.898000000e-01	4.805011579e-02
-9.896000000e-01	4.899152770e-02
-9.894000000e-01	4.993289610e-02
-9.892000000e-01	5.087422013e-02
-9.890000000e-01	5.181549898e-02
-9.888000000e-01	5.275673179e-02
-9.886000000e-01	5.369791775e-02
-9.884000000e-01	5.463905600e-02
-9.882000000e-01	5.558014571e-02
-9.880000000e-01	5.652118605e-02
-9.878000000e-01	5.746217618e-02
-9.876000000e-01	5.840311527e-02
-9.874000000e-01	5.934400248e-02
-9.872000000e-01	6.028483696e-02
-9.870000000e-01	6.122561790e-02
-9.868000000e-01	6.216634445e-02
-9.866000000e-01	6.310701578e-02
-9.864000000e-01	6.404763104e-02
-9.862000000e-01	6.498818942e-02
-9.860000000e-01	6.592869006e-02
-9.858000000e-01	6.686913213e-02
-9.856000000e-01	6.780951481e-02
-9.854000000e-01	6.874983725e-02
-9.852000000e-01	6.969009861e-02
-9.850000000e-01	7.063029807e-02
-9.848000000e-01	7.157043479e-02
-9.846000000e-01	7.251050793e-02
-9.844000000e-01	7.345051666e-02
-9.842000000e-01	7.439046013e-02
-9.840000000e-01	7.533033753e-02
-9.838000000e-01	7.627014801e-02
-9.836000000e-01	7.720989074e-02
-9.834000000e-01	7.814956488e-02
-9.832000000e-01	7.908916960e-02
-9.830000000e-01	8.002870406e-02
-9.828000000e-01	8.096816743e-02
-9.826000000e-01	8.190755887e-02
-9.824000000e-01	8.284687756e-02
-9.822000000e-01	8.378612265e-02
-9.820000000e-01	8.472529331e-02
-9.818000000e-01	8.566438871e-02
-9.816000000e-01	8.660340801e-02
-9.814000000e-01	8.754235038e-02
-9.812000000e-01	8.848121498e-02
